Year,Alarm Date,Containment Date,Cause #,GIS Calculated Acres,Cause
2019,11/15/2019,11/15/2019,14,14.53588,Unknown / Unidentified
2019,5/29/0219,5/29/0219,16,2.29694,Aircraft
2019,7/31/2019,7/31/2019,14,3.76396,Unknown / Unidentified
2019,10/31/2019,11/5/2019,14,10042.46,Unknown / Unidentified
2019,10/30/2019,11/13/2019,14,1806.234,Unknown / Unidentified
2019,10/11/2019,10/13/2019,14,171.4183,Unknown / Unidentified
2019,7/14/2019,7/15/2019,14,131.3172,Unknown / Unidentified
2019,7/26/2019,7/27/2019,14,11.11976,Unknown / Unidentified
2019,9/6/2019,9/9/2019,5,510.1355,Debris
2019,9/6/2019,9/16/2019,11,57.4474,Powerline
2019,8/31/2019,9/6/2019,2,754.4257,Equipment Use
2019,5/27/2019,5/27/2019,2,38.42611,Equipment Use
2019,9/10/2019,9/14/2019,14,355.3229,Unknown / Unidentified
2019,10/17/2019,10/21/2019,14,420.6586,Unknown / Unidentified
2019,11/13/2019,11/13/2019,18,51.6265,Escaped Prescribed Burn
2019,8/14/2019,8/14/2019,14,16.98027,Unknown / Unidentified
2019,5/3/2019,5/3/2019,14,169.9031,Unknown / Unidentified
2019,5/30/2019,5/30/2019,14,53.31026,Unknown / Unidentified
2019,5/16/2019,5/16/2019,14,55.86135,Unknown / Unidentified
2019,5/5/2019,5/5/2019,14,13.33649,Unknown / Unidentified
2019,9/24/2019,9/24/2019,3,2.897731,Smoking
2019,10/30/2019,10/30/2019,14,4.653334,Unknown / Unidentified
2019,9/29/2019,9/29/2019,14,38.80555,Unknown / Unidentified
2019,7/31/2019,8/1/2019,14,227.0095,Unknown / Unidentified
2019,10/7/2019,10/8/2019,14,61.07991,Unknown / Unidentified
2019,9/7/2019,9/10/2019,2,53.11696,Equipment Use
2019,11/4/2019,11/4/2019,14,73.55055,Unknown / Unidentified
2019,10/23/2019,11/10/2019,11,77762.14,Powerline
2019,10/6/2019,10/7/2019,14,526.8578,Unknown / Unidentified
2019,7/22/2019,7/25/2019,2,48.00141,Equipment Use
2019,6/19/2019,6/20/2019,11,16.01936,Powerline
2019,9/9/2019,9/9/2019,2,15.83755,Equipment Use
2019,9/4/2019,9/4/2019,14,23.91912,Unknown / Unidentified
2019,6/8/2019,6/13/2019,1,2422.018,Lightning
2019,11/2/2019,11/2/2019,14,0.7218916,Unknown / Unidentified
2019,11/2/2019,11/2/2019,10,31.55482,Vehicle
2019,9/24/2019,10/2/2019,14,225.646,Unknown / Unidentified
2019,8/28/2019,8/28/2019,14,1.677516,Unknown / Unidentified
2019,6/10/2019,6/24/2019,9,22.0214,Miscellaneous
2019,7/28/2019,8/2/2019,14,141.9548,Unknown / Unidentified
2019,6/29/2019,6/30/2019,14,27.51976,Unknown / Unidentified
2019,7/17/2019,7/18/2019,14,16.69558,Unknown / Unidentified
2019,11/6/2019,11/7/2019,14,6.311408,Unknown / Unidentified
2019,8/22/2019,8/22/2019,14,1.231062,Unknown / Unidentified
2019,8/22/2019,8/23/2019,14,7.226138,Unknown / Unidentified
2019,10/25/2019,10/27/2019,14,29.26041,Unknown / Unidentified
