Year,Alarm Date,Containment Date,Cause #,GIS Calculated Acres,Cause
2013,8/17/2013,10/24/2013,4,256175.5,Campfire
2013,9/10/2013,9/16/2013,1,0.07944366,Lightning
2013,5/27/2013,5/28/2013,10,1.235317,Vehicle
2013,9/18/2013,9/19/2013,14,3.633029,Unknown / Unidentified
2013,7/8/2013,7/8/2013,2,0.608927,Equipment Use
2013,3/11/2013,3/11/2013,14,0.0852045,Unknown / Unidentified
2013,8/19/2013,8/19/2013,14,1.532762,Unknown / Unidentified
2013,8/18/2013,8/21/2013,10,161.9402,Vehicle
2013,10/20/2013,10/21/2013,3,3.211156,Smoking
2013,8/30/2013,8/30/2013,11,2.539962,Powerline
2013,3/28/2013,3/31/2013,11,0.343236,Powerline
2013,5/9/2013,10/18/2013,1,198.145,Lightning
2013,5/9/2013,5/14/2013,1,0.07944103,Lightning
2013,6/29/2013,6/30/2013,1,0.07939778,Lightning
2013,7/3/2013,7/4/2013,1,0.07931547,Lightning
2013,7/18/2013,7/18/2013,4,0.07926745,Campfire
2013,7/20/2013,10/18/2013,1,0.07901904,Lightning
2013,7/25/2013,10/18/2013,1,0.07918327,Lightning
2013,7/31/2013,8/1/2013,14,0.07930743,Unknown / Unidentified
2013,8/1/2013,8/2/2013,4,0.07931699,Campfire
2013,8/8/2013,8/8/2013,4,0.07944155,Campfire
2013,8/12/2013,8/13/2013,14,0.07943822,Unknown / Unidentified
2013,8/13/2013,8/14/2013,14,0.07940335,Unknown / Unidentified
2013,8/20/2013,8/21/2013,1,0.07927231,Lightning
2013,8/20/2013,8/23/2013,1,0.0793656,Lightning
2013,8/20/2013,8/23/2013,1,0.0792402,Lightning
2013,9/10/2013,9/18/2013,1,0.07934793,Lightning
2013,9/21/2013,10/18/2013,1,0.07933598,Lightning
2013,9/21/2013,10/18/2013,1,0.07934421,Lightning
2013,9/21/2013,10/18/2013,1,0.07906692,Lightning
2013,8/13/2013,8/19/2013,14,3.692795,Unknown / Unidentified
