station,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12
USC00049582,28.5,283.3,109.5,89.9,3.1,0.0,0.0,0.3,27.5,15.5,94.2,225.6
US1CASA0035,13.2,71.4,72.5,67.1,4.3,0.0,0.0,0.0,0.5,4.5,44.4,241.6
US1CASR0044,0.0,0.0,2.1,25.9,0.5,0.0,6.4,15.7,13.2,0.0,22.6,140.1
US1CAIN0005,7.6,23.3,8.0,2.1,5.9,0.0,5.6,4.6,3.1,0.0,0.6,1.6
USC00047731,0.5,102.2,64.1,46.8,3.8,0.0,0.0,0.0,4.8,1.8,38.1,215.0
US1CAMT0025,0.0,75.4,18.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.6,126.7
US1CAST0005,5.6,48.8,33.6,27.6,0.8,0.0,0.3,0.0,3.8,3.6,50.3,163.0
USW00093209,0.0,67.6,37.2,8.7,0.0,0.0,0.0,0.0,0.0,21.6,9.4,114.4
US1CAST0002,5.1,74.9,49.5,39.3,0.0,0.0,0.0,0.0,3.8,2.5,41.8,186.9
USC00044863,10.7,45.7,46.2,22.6,3.3,0.0,0.0,3.6,0.0,0.0,20.5,114.4
USC00044863,10.7,45.7,46.2,22.6,3.3,0.0,0.0,3.6,0.0,0.0,20.5,114.4
USC00040503,0.5,14.8,71.2,0.0,14.0,0.0,0.0,11.4,0.0,0.0,20.1,133.9
USC00048122,2.8,6.9,19.6,13.9,1.3,0.0,0.0,0.0,0.0,0.0,18.9,52.8
USC00048967,0.3,142.4,2.3,8.6,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
USC00046161,0.0,109.4,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USC00042941,3.8,61.0,74.2,13.4,3.5,0.0,0.0,1.6,1.0,0.0,20.6,133.9
USC00042941,3.8,61.0,74.2,13.4,3.5,0.0,0.0,1.6,1.0,0.0,20.6,133.9
USC00046161,0.0,109.4,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USC00046161,0.0,109.4,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USC00046940,0.0,78.5,52.6,15.0,0.0,0.0,1.0,0.0,0.0,0.0,16.5,125.4
USC00042941,3.8,61.0,74.2,13.4,3.5,0.0,0.0,1.6,1.0,0.0,20.6,133.9
