acq_date,frp,bright_ti5,bright_ti4,latitude,longitude
2023-01-01,2.76,273.74,326.81,40.30265,-123.34277
2023-01-01,0.78,276.57,298.88,40.47156,-122.47469
2023-01-01,0.91,275.47,303.98,40.86136,-123.87157
2023-01-01,0.94,285.24,297.87,37.95076,-122.40051
2023-01-01,0.39,279.66,298.74,38.00505,-121.93247
2023-01-01,1.62,288.49,306.65,38.07198,-122.13905
2023-01-01,2.73,277.48,296.41,38.62769,-123.32094
2023-01-01,7.14,280.42,327.13,38.62836,-123.32539
2023-01-01,0.56,274.51,297.92,39.15087,-122.65292
2023-01-01,0.82,274.29,301.45,39.15154,-122.65734
2023-01-01,6.25,287.82,335.37,37.56534,-120.96962
2023-01-01,6.29,287.04,328.62,37.56535,-120.97171
2023-01-01,4.68,285.15,329.72,40.50795,-122.40488
2023-01-01,2.7,285.36,328.22,40.50797,-122.40669
2023-01-02,0.79,270.92,297.45,39.62093,-119.26151
2023-01-02,0.59,281.31,299.55,33.77864,-118.23626
2023-01-02,0.96,277.1,307.52,33.79575,-117.4766
2023-01-02,0.78,283.36,301.96,33.82097,-118.24355
2023-01-02,0.85,279.03,298.15,33.852,-118.3325
2023-01-02,0.47,276.89,297.29,33.8764,-117.00082
2023-01-02,0.49,276.56,298.91,34.03606,-118.10651
2023-01-02,0.42,277.85,295.38,34.04075,-117.82332
2023-01-02,0.45,277.71,298.31,34.1521,-118.19349
2023-01-02,0.45,276.27,298.34,34.15541,-118.19273
2023-01-02,0.72,273.07,309.24,34.33424,-118.5187
2023-01-02,0.71,275.61,300.27,34.60886,-117.33557
2023-01-02,1.4,274.64,305.98,34.62112,-117.10129
2023-01-02,0.82,274.81,297.39,34.6217,-117.09879
2023-01-02,0.82,274.79,298.73,34.62244,-117.10306
2023-01-02,2.47,296.75,329.33,32.52581,-115.31683
2023-01-02,19.19,300.12,356.58,32.65954,-115.06969
2023-01-02,9.93,298.42,345.51,32.66014,-115.07195
2023-01-02,9.93,296.35,332.92,32.66076,-115.06625
2023-01-03,1.19,280.03,311.67,33.9526,-116.49335
2023-01-03,7.56,292.97,347.91,32.6614,-115.07306
2023-01-04,20.55,298.33,347.6,32.60769,-114.61116
2023-01-04,28.6,299.35,338.34,32.60862,-114.60619
2023-01-04,8.82,290.85,347.35,32.74879,-115.4686
2023-01-04,4.65,284.73,330.47,32.74982,-115.46319
2023-01-04,8.8,286.32,347.83,32.75253,-115.4696
2023-01-04,1.99,293.85,330.59,33.10886,-115.35933
2023-01-04,3.17,294.34,334.72,33.10927,-115.36098
2023-01-05,1.35,285.54,295.91,37.95076,-122.39812
2023-01-05,0.6,280.3,296.46,38.00395,-121.93332
2023-01-05,1.34,285.88,298.23,38.01677,-122.11269
2023-01-05,0.72,284.11,295.15,38.06958,-122.14031
2023-01-05,0.72,287.46,299.2,38.07353,-122.13885
2023-01-06,0.77,274.37,295.06,36.35879,-114.91277
2023-01-06,0.75,274.74,295.66,36.35614,-114.91107
2023-01-06,0.73,269.72,295.38,39.49237,-119.62035
2023-01-06,1.0,273.36,296.71,39.62041,-119.26065
2023-01-06,1.73,271.92,306.08,39.98697,-121.00102
2023-01-06,1.93,272.28,308.59,39.99018,-120.97949
2023-01-06,1.93,273.07,321.83,39.99104,-120.98426
2023-01-06,10.18,274.98,344.57,39.99207,-121.00961
2023-01-06,10.18,275.78,328.71,39.99543,-121.00859
2023-01-06,0.6,278.77,295.79,33.61277,-117.82156
2023-01-06,1.34,284.65,298.65,33.80474,-118.24209
2023-01-06,1.5,284.55,296.51,33.81825,-118.2428
2023-01-06,1.0,284.72,297.08,33.85504,-118.33327
2023-01-06,0.91,280.22,302.25,33.93353,-117.84128
2023-01-06,0.67,277.98,311.76,34.15444,-118.19145
2023-01-06,0.61,276.97,301.9,34.33691,-118.52109
2023-01-06,4.52,292.36,340.55,32.59252,-115.34713
2023-01-06,71.48,295.67,367.0,32.65778,-115.03963
2023-01-06,1.83,296.48,328.02,32.59268,-115.34755
2023-01-06,9.49,296.46,345.84,32.70316,-115.60574
2023-01-06,20.06,307.38,355.3,32.70343,-115.60161
2023-01-06,20.06,301.34,367.0,32.7037,-115.59748
2023-01-06,6.75,292.52,340.05,34.13733,-118.35464
2023-01-06,2.88,283.07,333.58,35.55504,-115.46799
2023-01-06,3.87,283.86,343.4,35.57701,-115.47969
2023-01-07,0.47,277.21,296.37,34.1412,-117.42975
2023-01-07,0.72,276.89,303.4,34.29148,-118.80051
2023-01-07,2.05,275.57,308.59,34.62073,-117.10112
2023-01-07,1.33,276.37,300.66,36.35916,-114.91288
2023-01-07,0.69,275.54,299.16,32.51116,-115.42317
2023-01-07,1.15,278.91,301.7,32.59729,-117.01241
2023-01-07,0.42,279.46,303.58,32.85648,-117.14594
2023-01-07,0.5,277.28,303.07,33.61255,-117.82463
2023-01-07,0.57,275.92,303.65,33.71505,-117.70937
2023-01-07,1.22,276.9,303.29,33.79258,-117.47472
2023-01-07,10.61,298.17,331.0,32.66172,-115.05175
2023-01-07,17.14,299.67,339.49,32.66218,-115.04713
2023-01-07,2.52,293.94,331.86,32.7655,-115.37786
2023-01-08,0.82,279.75,307.47,32.59743,-117.01083
2023-01-08,0.68,277.42,301.54,32.85711,-117.14809
2023-01-08,0.77,266.24,298.56,34.15354,-118.19392
2023-01-08,0.14,259.41,296.41,34.33493,-118.51971
2023-01-09,8.46,282.2,343.39,32.99646,-116.7524
2023-01-09,2.1,285.73,327.53,40.56742,-122.44058
2023-01-09,7.72,282.43,335.67,41.79096,-122.6555
2023-01-09,14.43,286.08,338.28,41.79219,-122.65008
2023-01-11,0.9,278.11,297.2,34.07835,-117.50238
2023-01-12,2.16,278.52,302.71,32.654,-115.0841
2023-01-12,0.72,279.91,298.42,32.85724,-117.14552
2023-01-12,0.66,278.34,295.08,33.6142,-117.82452
2023-01-12,0.89,280.57,300.72,33.71724,-117.71222
2023-01-12,0.95,283.71,297.82,33.77718,-118.23763
2023-01-12,0.8,278.31,300.88,33.79282,-117.477
2023-01-12,1.35,284.83,296.87,33.81947,-118.24181
2023-01-12,1.27,284.98,297.86,33.85167,-118.33212
2023-01-12,0.82,279.48,296.65,34.03536,-117.89092
2023-01-12,0.76,279.75,297.41,34.03648,-117.89236
2023-01-12,1.09,278.5,299.11,34.07912,-117.49853
2023-01-12,0.36,279.26,297.95,34.14253,-117.42529
2023-01-12,1.76,278.86,312.73,34.15409,-118.19286
2023-01-12,0.57,280.95,299.91,34.28967,-118.80039
2023-01-12,0.67,278.95,303.06,34.31956,-118.51143
2023-01-12,0.82,279.3,314.07,34.33546,-118.51742
2023-01-12,0.52,278.94,295.4,34.42841,-118.64504
2023-01-12,0.54,278.91,300.02,34.43192,-118.64416
2023-01-12,11.69,292.37,351.95,32.59438,-114.5808
2023-01-12,16.15,293.19,367.0,32.63084,-114.56095
2023-01-12,5.75,291.6,333.94,32.63177,-114.5638
2023-01-12,5.75,291.86,338.16,32.63226,-114.5577
2023-01-12,7.35,292.06,342.5,32.63238,-114.56223
2023-01-12,4.76,272.56,329.52,38.55931,-122.54765
2023-01-12,4.6,272.2,325.78,38.56278,-122.54816
2023-01-12,5.6,275.21,333.04,41.27377,-120.89305
2023-01-13,0.89,269.33,295.82,39.61805,-119.26353
2023-01-13,0.79,279.91,307.22,32.59886,-117.01155
2023-01-13,0.27,278.37,295.69,32.85869,-117.14639
2023-01-13,0.62,278.4,301.86,33.61368,-117.82132
2023-01-13,0.61,277.64,301.79,33.71512,-117.71101
2023-01-13,0.74,277.97,297.15,33.77855,-118.23672
2023-01-13,0.72,279.84,295.17,33.81296,-118.2379
2023-01-13,1.18,280.68,295.99,33.81951,-118.24236
2023-01-13,1.8,281.49,297.5,33.85379,-118.33418
2023-01-13,0.44,276.53,299.65,34.15385,-118.19147
2023-01-13,0.47,272.03,295.15,34.24376,-118.38058
2023-01-13,0.96,269.46,309.13,34.33497,-118.51958
2023-01-14,0.74,279.15,305.02,34.15836,-114.25223
2023-01-16,7.93,282.72,344.77,35.10654,-119.35893
2023-01-16,2.59,278.88,332.85,35.61388,-119.31267
2023-01-17,0.68,277.7,301.84,37.18394,-121.67916
2023-01-17,0.95,278.27,303.45,37.88379,-121.18607
2023-01-17,0.97,283.25,297.87,37.95024,-122.39735
