station,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12
US1CASK0004,114.7,58.1,107.1,16.7,26.9,22.7,0.0,10.2,10.5,15.7,48.3,90.5
US1CABT0009,236.8,77.2,114.5,21.1,24.0,5.8,0.0,2.3,14.8,20.3,21.3,103.0
USC00041428,186.8,84.1,160.9,4.8,11.4,0.3,0.0,1.3,7.6,17.0,20.6,50.3
US1CAAM0013,344.5,59.8,226.0,5.8,22.9,0.3,0.0,0.3,17.2,26.2,10.7,63.3
US1CASJ0017,277.7,57.6,158.9,5.8,8.6,0.0,0.0,1.5,0.0,18.3,14.2,46.0
US1CASJ0017,277.7,57.6,158.9,5.8,8.6,0.0,0.0,1.5,0.0,18.3,14.2,46.0
US1CAST0005,145.8,46.3,153.7,0.0,20.3,2.3,0.0,0.0,0.6,1.6,13.2,75.3
USW00093209,167.1,72.5,123.3,0.0,9.4,0.3,0.0,0.0,0.6,0.0,44.7,105.4
USW00093209,167.1,72.5,123.3,0.0,9.4,0.3,0.0,0.0,0.6,0.0,44.7,105.4
USC00046675,145.2,52.6,70.9,1.0,10.4,2.3,0.0,3.3,0.3,0.5,17.3,54.2
US1CASH0010,389.5,125.2,436.8,40.9,71.0,4.6,0.0,12.7,75.5,14.7,106.8,234.4
US1CASH0057,271.5,94.0,257.7,22.1,40.0,3.0,0.0,4.1,18.0,7.1,28.2,171.6
US1CASH0051,308.3,119.4,315.6,30.3,82.6,6.4,0.0,6.1,77.0,5.4,48.0,214.0
US1CABT0032,328.3,2.5,152.7,12.8,26.0,4.1,0.0,10.2,1.6,19.2,23.2,147.0
USC00046521,258.5,75.0,172.4,10.9,16.9,0.0,0.0,0.0,25.4,16.5,28.4,110.1
US1CARV0065,122.4,56.8,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US1CARV0065,122.4,56.8,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US1CASR0100,2.3,93.0,93.1,4.9,1.5,6.9,0.0,67.1,1.3,10.7,0.0,20.8
US1CARV0034,113.6,78.5,114.9,3.0,11.2,2.9,0.0,70.6,3.7,2.8,6.4,24.6
US1CARV0058,85.9,61.6,153.2,0.0,26.7,0.0,0.0,56.1,1.3,2.3,24.6,1.0
US1CABT0026,240.6,68.6,177.7,7.6,15.1,0.3,0.0,6.4,6.1,48.8,19.3,107.2
