,FIRE_NAME,ALARM_DATE,CONT_DATE,CAUSE,GIS_ACRES,DURATION
129,SOUTHERN,2021-05-02,2022-05-06,Equipment Use,5365.902,371
154,TIVY,2021-09-07,2022-09-07,Equipment Use,25.03143,367
270,FORBIDDEN,2013-05-09,2013-10-18,Lightning,198.145,164
405,TRAIL,2017-08-12,2018-01-15,Lightning,31.87081,158
291,ANTELOPE,2021-08-01,2022-01-03,Lightning,145631.8,157
516,SAW,2017-03-08,2017-08-08,Vehicle,53.36273,155
592,ABNEY,2017-08-10,2018-01-09,Lightning,32893.26,154
395,ROWELL,2017-08-20,2018-01-15,Lightning,48.382,150
230,SPRINGS,2019-07-26,2019-12-18,Lightning,6614.634,147
396,SCHAEFFER,2017-06-24,2017-11-15,Lightning,15833.21,146
181,MEADOW,2015-02-22,2015-07-15,Debris,22.062,145
243,SADDLE,2015-06-09,2015-10-30,Lightning,1542.967,145
147,BIG FIVE,2015-06-17,2015-11-02,Lightning,264.5698,140
235,SHOTGUN,2020-08-19,2021-01-04,Lightning,840.8506,140
237,CASTLE,2020-08-19,2021-01-04,Lightning,170647.9,140
377,DOUGLAS,2017-07-03,2017-11-16,Lightning,310.7712,138
301,RATTLESNAKE,2020-08-16,2020-12-28,Lightning,8422.869,136
565,NORTH GUARD,2017-07-18,2017-11-27,Lightning,8.235841,134
299,MORAINE,2020-08-21,2020-12-29,Lightning,1316.038,132
154,WHITE CASCADE,2015-07-03,2015-11-09,Lightning,50.73343,131
483,RIMROCK,2017-07-24,2017-11-29,Lightning,1492.398,130
205,CABIN SEQ,2015-07-19,2015-11-23,Lightning,6996.186,129
271,LAVA,2021-06-25,2021-10-26,Lightning,26328.9,125
130,RIDGE,2020-09-14,2021-01-14,Vehicle,17.10545,124
209,REDWOOD,2023-08-15,2023-12-14,Lightning,2248.449,123
555,EMPIRE,2017-07-31,2017-11-27,Lightning,8577.552,121
229,COW,2019-07-25,2019-11-21,Lightning,1875.988,121
275,SALT,2021-06-30,2021-10-26,Equipment Use,12599.14,120
294,BLUEJAY,2020-07-25,2020-11-19,Lightning,6922.014,119
298,WALKERS,2021-08-15,2021-12-08,Lightning,8778.784,117
281,AVALANCHE,2022-07-18,2022-11-10,Lightning,28.92503,117
288,RED SALMON COMPLEX,2020-07-27,2020-11-19,Lightning,143836.4,117
353,TAMARACK,2021-07-04,2021-10-26,Lightning,67054.51,116
283,DEXTER,2021-07-12,2021-11-01,Lightning,2967.832,114
263,BRODER,2019-08-08,2019-11-25,Lightning,328.0544,111
593,KNOX,2017-08-11,2017-11-28,Lightning,492.5997,111
236,NORTH COMPLEX,2020-08-17,2020-12-03,Lightning,318797.3,110
486,APPLE,2020-07-31,2020-11-15,Equipment Use,33235.8,109
294,HOCKETT FIRE,2013-07-23,2013-11-07,Lightning,48.82448,109
289,RED,2019-08-14,2019-11-27,Lightning,36.58359,107
151,MIDDLE,2015-07-27,2015-11-08,Lightning,324.7684,106
367,DIXIE,2021-07-14,2021-10-25,Powerline,963405.4,105
303,WOLF,2020-08-10,2020-11-19,Lightning,2057.296,103
370,FORK,2017-08-07,2017-11-15,Lightning,3372.92,102
253,HAYNES,2019-06-16,2019-09-23,Lightning,23.59244,101
174,ROUGH,2015-07-31,2015-11-06,Lightning,151546.8,100
286,SUMMIT,2021-07-20,2021-10-26,Lightning,22.27062,100
401,GARDEN,2017-07-30,2017-11-04,Equipment Use,1282.467,99
127,KNP Complex,2021-09-10,2021-12-16,Lightning,88257.13,99
440,GARDEN,2017-08-09,2017-11-13,Lightning,265.481,98
308,MONUMENT,2021-07-31,2021-11-03,Lightning,223107.9,97
444,MARY,2017-08-10,2017-11-13,Lightning,91.3345,97
304,WOODWARD,2020-08-18,2020-11-20,Lightning,4901.727,96
279,RED,2022-08-04,2022-11-06,Lightning,8432.419,96
446,WALLOW,2017-08-11,2017-11-13,Lightning,63785.07,96
190,NICKOWITZ,2015-08-01,2015-11-02,Lightning,7576.045,95
441,GRIZZLY,2017-08-12,2017-11-13,Lightning,90.6049,95
586,STARR KING,2017-08-02,2017-11-03,Lightning,56.16541,95
191,BEAR,2015-07-31,2015-10-31,Lightning,11616.88,94
127,DERSCH,2020-10-25,2021-01-25,Arson,133.2995,94
230,JOHNSON,2015-07-30,2015-10-30,Lightning,17821.11,94
222,SHIELL,2015-07-30,2015-10-30,Lightning,15390.65,94
221,PEAK,2015-07-30,2015-10-30,Lightning,6273.949,94
197,EAST,2015-07-30,2015-10-30,Lightning,1530.955,94
218,BLUE,2015-07-30,2015-10-30,Lightning,2828.028,94
582,PORCUPINE,2017-08-02,2017-11-02,Lightning,10.51803,94
204,CASTLE 1,2015-07-30,2015-10-30,Lightning,662.1591,94
196,GROVES,2015-07-30,2015-10-30,Lightning,6803.031,94
219,RAIL,2015-07-30,2015-10-30,Lightning,8669.771,94
202,CHANCE,2015-07-30,2015-10-30,Lightning,160.0666,94
192,COON,2015-08-01,2015-10-31,Lightning,5682.627,93
195,PEAK,2015-08-01,2015-10-31,Lightning,11524.46,93
280,RODGERS,2022-08-08,2022-11-06,Lightning,2839.684,92
379,WILLOW ,2017-08-18,2017-11-16,Lightning,134.3042,92
275,SNOW PEAK,2013-07-20,2013-10-18,Lightning,0.07901904,92
375,MCCORMICK,2017-08-18,2017-11-16,Lightning,4423.208,92
262,SCHAEFFER,2019-09-08,2019-12-06,Lightning,287.1784,91
408,BUTTE,2017-08-07,2017-11-04,Lightning,611.2015,91
236,LIME,2019-09-05,2019-12-03,Lightning,1873.937,91
269,MIDDLE,2019-09-05,2019-12-03,Lightning,1339.595,91
297,HORSE,2020-08-23,2020-11-19,Lightning,30.1925,90
288,MCFARLAND,2021-07-30,2021-10-26,Lightning,122447.7,90
248,LONE,2019-09-05,2019-12-02,Lightning,5737.16,90
117,SENTINEL,2021-07-29,2021-10-25,Lightning,12.4895,90
271,SOUTH,2019-09-05,2019-12-02,Lightning,5333.991,90
284,AUGUST COMPLEX,2020-08-16,2020-11-11,Lightning,1032700.0,89
309,MCCASH,2021-08-01,2021-10-27,Lightning,94970.47,89
368,RIVER COMPLEX,2021-07-31,2021-10-25,Lightning,199354.1,88
