acq_date,frp,bright_ti5,bright_ti4,latitude,longitude
2013-01-01,2.23,261.47,321.35,40.82274,-114.25684
2013-01-01,1.68,280.74,297.08,38.07133,-122.13743
2013-01-01,0.6,273.31,297.61,34.24416,-118.38185
2013-01-01,0.41,273.48,296.82,34.31968,-118.51084
2013-01-01,0.85,273.95,303.11,34.32547,-118.52694
2013-01-01,1.48,272.92,316.64,34.33487,-118.52065
2013-01-01,1.51,270.44,306.29,36.35647,-114.9114
2013-01-01,0.79,272.11,303.28,37.77493,-120.41843
2013-01-01,1.03,282.56,298.06,37.95023,-122.4001
2013-01-01,1.75,279.19,297.27,38.01471,-122.11392
2013-01-01,0.96,279.6,295.16,38.07008,-122.13774
2013-01-01,0.34,264.36,295.75,33.71566,-117.71088
2013-01-01,0.42,271.54,296.09,33.77758,-118.22843
2013-01-01,0.89,277.49,295.72,33.81941,-118.24271
2013-01-01,0.75,283.59,301.09,33.85303,-118.33042
2013-01-01,0.75,282.12,295.07,33.85366,-118.33461
2013-01-01,1.54,278.09,317.83,33.92576,-118.42746
2013-01-01,0.49,269.96,295.38,34.03596,-118.10448
2013-01-01,5.06,286.2,339.31,34.72985,-114.51844
2013-01-02,1.33,271.88,306.3,36.3577,-114.91109
2013-01-02,0.66,271.94,297.06,36.99951,-120.68295
2013-01-02,0.62,278.23,300.88,37.317,-122.09032
2013-01-02,0.27,272.74,297.38,37.45487,-121.93312
2013-01-02,1.16,278.98,295.92,38.01386,-122.11391
2013-01-02,1.43,283.33,301.03,38.07315,-122.13916
2013-01-02,0.36,272.88,295.82,32.56405,-115.23853
2013-01-02,0.77,274.15,296.35,32.59902,-117.01242
2013-01-02,1.02,279.39,299.12,33.71704,-117.71229
2013-01-02,1.23,278.95,297.29,33.77604,-118.22798
2013-01-02,2.26,281.67,296.36,33.82046,-118.24503
2013-01-02,2.18,284.05,301.19,33.85439,-118.33353
2013-01-02,0.71,277.78,299.03,33.92642,-118.42894
2013-01-02,0.52,275.5,295.69,34.24208,-118.38147
2013-01-02,0.47,279.52,298.74,34.29152,-118.80323
2013-01-02,0.34,278.03,296.91,34.32315,-118.52615
2013-01-02,1.01,277.43,312.95,34.3349,-118.52031
2013-01-02,1.7,278.75,296.39,38.0143,-122.11087
2013-01-02,7.75,297.13,334.68,32.65172,-114.99857
2013-01-02,2.55,283.11,325.83,39.65285,-121.35419
2013-01-03,1.18,273.2,301.08,36.35831,-114.90972
2013-01-03,0.51,277.15,305.45,33.71503,-117.71191
2013-01-03,0.59,279.12,297.42,33.77857,-118.2281
2013-01-03,1.55,285.26,303.39,33.85382,-118.33355
2013-01-03,1.22,284.8,301.36,33.85497,-118.33143
2013-01-03,2.14,276.97,307.2,34.0927,-117.52749
2013-01-03,2.14,276.86,313.37,34.09321,-117.53444
2013-01-03,0.97,276.58,302.04,34.09372,-117.52666
2013-01-03,3.64,277.13,315.28,34.09427,-117.53359
