Year,Alarm Date,Containment Date,Cause #,GIS Calculated Acres,Cause
2017,10/9/2017,10/9/2017,11,130.2357,Powerline
2017,9/11/2017,9/11/2017,1,59.3685,Lightning
2017,9/19/2017,9/19/2017,11,38.80263,Powerline
2017,8/31/2017,8/31/2017,14,0.02271913,Unknown / Unidentified
2017,5/23/2017,5/24/2017,14,10.04382,Unknown / Unidentified
2017,9/9/2017,9/9/2017,14,1.190109,Unknown / Unidentified
2017,7/4/2017,7/5/2017,14,47.19403,Unknown / Unidentified
2017,6/24/2017,6/24/2017,14,1.158548,Unknown / Unidentified
2017,5/15/2017,5/15/2017,14,2.893327,Unknown / Unidentified
2017,10/21/2017,10/21/2017,14,1.187291,Unknown / Unidentified
2017,10/24/2017,10/26/2017,14,86.39403,Unknown / Unidentified
2017,6/16/2017,6/16/2017,2,2.296595,Equipment Use
2017,8/3/2017,8/3/2017,14,3.923584,Unknown / Unidentified
2017,5/21/2017,5/21/2017,14,1.751291,Unknown / Unidentified
2017,11/23/2017,11/23/2017,9,4.666061,Miscellaneous
2017,4/28/2017,4/28/2017,14,1.534435,Unknown / Unidentified
2017,4/16/2017,4/16/2017,9,2.227261,Miscellaneous
2017,12/21/2017,12/21/2017,14,1.25824,Unknown / Unidentified
2017,12/5/2017,12/5/2017,9,2.425504,Miscellaneous
2017,6/7/2017,6/11/2017,2,340.5638,Equipment Use
2017,7/30/2017,8/1/2017,7,2284.596,Arson
2017,7/20/2017,7/22/2017,7,415.2116,Arson
2017,10/30/2017,10/31/2017,10,194.0017,Vehicle
2017,6/18/2017,6/21/2017,9,60.31167,Miscellaneous
2017,6/21/2017,6/21/2017,10,14.1566,Vehicle
2017,8/1/2017,8/1/2017,14,20.31024,Unknown / Unidentified
2017,7/5/2017,7/5/2017,10,33.16441,Vehicle
2017,9/24/2017,9/24/2017,11,37.42143,Powerline
2017,7/29/2017,7/30/2017,14,684.3565,Unknown / Unidentified
2017,7/8/2017,7/8/2017,14,62.34454,Unknown / Unidentified
2017,7/17/2017,7/17/2017,14,114.5601,Unknown / Unidentified
2017,10/18/2017,10/18/2017,2,17.96167,Equipment Use
2017,6/21/2017,6/21/2017,2,64.52619,Equipment Use
2017,7/18/2017,7/18/2017,14,13.38323,Unknown / Unidentified
2017,7/12/2017,7/12/2017,2,59.38209,Equipment Use
2017,6/11/2017,6/11/2017,14,38.10066,Unknown / Unidentified
2017,7/30/2017,7/30/2017,14,124.244,Unknown / Unidentified
2017,7/18/2017,7/18/2017,14,18.7433,Unknown / Unidentified
2017,8/15/2017,8/15/2017,14,23.79608,Unknown / Unidentified
2017,5/20/2017,5/20/2017,2,21.9278,Equipment Use
2017,5/7/2017,5/7/2017,10,12.07228,Vehicle
2017,6/3/2017,6/3/2017,14,11.10916,Unknown / Unidentified
2017,6/14/2017,6/14/2017,11,147.667,Powerline
2017,7/7/2017,7/7/2017,10,63.51402,Vehicle
2017,7/24/2017,7/24/2017,10,236.8678,Vehicle
2017,7/24/2017,7/24/2017,11,21.28955,Powerline
2017,7/8/2017,7/8/2017,14,18.82862,Unknown / Unidentified
2017,7/9/2017,7/11/2017,2,340.4365,Equipment Use
2017,7/31/2017,7/31/2017,10,11.34279,Vehicle
2017,7/6/2017,7/20/2017,10,28834.17,Vehicle
2017,6/26/2017,6/30/2017,10,1645.591,Vehicle
2017,6/14/2017,6/14/2017,9,20.31965,Miscellaneous
2017,7/20/2017,7/20/2017,14,46.57753,Unknown / Unidentified
2017,8/2/2017,8/2/2017,1,70.57708,Lightning
2017,8/13/2017,8/13/2017,10,12.45207,Vehicle
2017,9/3/2017,9/3/2017,10,69.71004,Vehicle
2017,9/20/2017,9/20/2017,2,244.789,Equipment Use
2017,9/23/2017,9/23/2017,14,24.77047,Unknown / Unidentified
2017,9/26/2017,9/29/2017,2,105.6661,Equipment Use
2017,9/26/2017,9/26/2017,14,74.80467,Unknown / Unidentified
2017,10/20/2017,10/20/2017,14,30.651,Unknown / Unidentified
2017,10/19/2017,10/19/2017,10,71.18116,Vehicle
2017,5/15/2017,5/15/2017,9,253.9364,Miscellaneous
2017,7/28/2017,7/28/2017,11,10.20885,Powerline
2017,5/2/2017,5/2/2017,10,117.0671,Vehicle
2017,2/14/2017,2/14/2017,5,16.0521,Debris
2017,5/21/2017,5/21/2017,9,0.5325515,Miscellaneous
2017,6/4/2017,6/4/2017,5,0.1616718,Debris
2017,6/6/2017,6/6/2017,5,2.126029,Debris
2017,6/6/2017,6/11/2017,5,44.10824,Debris
2017,6/10/2017,6/10/2017,7,0.2615252,Arson
2017,6/12/2017,6/12/2017,5,3.594825,Debris
2017,6/16/2017,6/23/2017,14,3.772915,Unknown / Unidentified
2017,6/18/2017,6/22/2017,5,55.97834,Debris
2017,6/20/2017,6/21/2017,9,3.594723,Miscellaneous
2017,6/29/2017,6/29/2017,5,9.625264,Debris
2017,6/30/2017,7/5/2017,7,11.60558,Arson
2017,6/21/2017,6/22/2017,14,1.697881,Unknown / Unidentified
2017,7/1/2017,7/1/2017,14,1.136793,Unknown / Unidentified
2017,7/2/2017,7/2/2017,7,5.762318,Arson
2017,7/5/2017,7/5/2017,9,469.3559,Miscellaneous
2017,7/6/2017,7/6/2017,2,4.431605,Equipment Use
2017,7/8/2017,7/8/2017,2,5.537436,Equipment Use
2017,7/9/2017,7/9/2017,9,0.08125556,Miscellaneous
2017,7/4/2017,7/4/2017,14,0.3905636,Unknown / Unidentified
2017,7/29/2017,7/29/2017,2,155.1988,Equipment Use
2017,8/19/2017,8/19/2017,2,0.4704108,Equipment Use
2017,8/27/2017,8/27/2017,2,0.3043329,Equipment Use
2017,8/29/2017,9/4/2017,14,54.75001,Unknown / Unidentified
2017,8/30/2017,8/30/2017,14,0.3880334,Unknown / Unidentified
2017,9/1/2017,9/1/2017,2,0.3712338,Equipment Use
2017,9/4/2017,9/4/2017,14,0.2580093,Unknown / Unidentified
2017,9/23/2017,9/23/2017,14,2.216443,Unknown / Unidentified
2017,10/1/2017,10/1/2017,14,0.3852446,Unknown / Unidentified
2017,10/5/2017,10/5/2017,5,4.643873,Debris
2017,10/29/2017,10/29/2017,10,0.3732139,Vehicle
2017,10/31/2017,10/31/2017,5,0.09527241,Debris
2017,11/15/2017,11/15/2017,7,0.2216782,Arson
2017,7/18/2017,7/18/2017,9,175.3335,Miscellaneous
2017,4/3/2017,4/3/2017,7,45.21847,Arson
2017,8/17/2017,8/17/2017,10,13.96419,Vehicle
2017,9/12/2017,10/4/2017,1,994.0728,Lightning
2017,9/19/2017,9/22/2017,14,157.2408,Unknown / Unidentified
2017,9/3/2017,9/6/2017,14,109.1915,Unknown / Unidentified
2017,7/10/2017,7/14/2017,14,102.559,Unknown / Unidentified
2017,7/11/2017,7/13/2017,14,102.1644,Unknown / Unidentified
2017,9/25/2017,9/25/2017,2,147.8375,Equipment Use
2017,8/5/2017,8/5/2017,7,34.68973,Arson
2017,6/25/2017,6/25/2017,11,269.1116,Powerline
2017,6/23/2017,6/23/2017,9,11.72539,Miscellaneous
2017,9/29/2017,10/4/2017,10,429.7042,Vehicle
2017,12/8/2017,12/8/2017,11,25.13168,Powerline
2017,7/27/2017,7/27/2017,10,10.08267,Vehicle
2017,4/30/2017,4/30/2017,11,12.27624,Powerline
2017,8/12/2017,8/12/2017,11,25.66816,Powerline
2017,12/5/2017,12/5/2017,11,15.88332,Powerline
2017,12/14/2017,12/14/2017,11,13.04565,Powerline
2017,12/16/2017,12/16/2017,9,13.53869,Miscellaneous
2017,7/17/2017,7/17/2017,2,51.36316,Equipment Use
2017,5/25/2017,5/26/2017,14,193.6728,Unknown / Unidentified
2017,6/18/2017,6/18/2017,14,20.43246,Unknown / Unidentified
2017,4/30/2017,5/2/2017,10,999.6262,Vehicle
2017,7/31/2017,8/3/2017,2,188.1239,Equipment Use
2017,6/3/2017,6/3/2017,14,26.25211,Unknown / Unidentified
2017,9/2/2017,9/6/2017,9,3872.152,Miscellaneous
2017,8/14/2017,8/20/2017,11,521.0856,Powerline
2017,8/13/2017,8/14/2017,14,577.6851,Unknown / Unidentified
2017,10/23/2017,10/23/2017,14,41.77808,Unknown / Unidentified
2017,5/21/2017,5/21/2017,14,34.84784,Unknown / Unidentified
2017,1/30/2017,1/30/2017,14,0.003896726,Unknown / Unidentified
2017,5/20/2017,5/20/2017,14,0.4889542,Unknown / Unidentified
2017,6/24/2017,6/24/2017,14,2.2113,Unknown / Unidentified
2017,7/31/2017,8/1/2017,14,0.0795795,Unknown / Unidentified
2017,7/31/2017,7/31/2017,14,5.23979,Unknown / Unidentified
2017,7/4/2017,7/4/2017,9,0.1795835,Miscellaneous
2017,6/29/2017,6/29/2017,2,1.328025,Equipment Use
2017,8/6/2017,8/6/2017,14,2.904046,Unknown / Unidentified
2017,7/5/2017,7/5/2017,14,0.006446013,Unknown / Unidentified
2017,6/1/2017,6/1/2017,14,0.04850181,Unknown / Unidentified
2017,9/2/2017,9/2/2017,14,5.443711,Unknown / Unidentified
2017,8/19/2017,8/19/2017,14,11.08747,Unknown / Unidentified
2017,9/15/2017,9/15/2017,14,0.02014686,Unknown / Unidentified
2017,9/13/2017,9/13/2017,14,0.01499808,Unknown / Unidentified
2017,9/25/2017,10/1/2017,9,2661.415,Miscellaneous
2017,10/9/2017,10/17/2017,5,9198.028,Debris
2017,10/18/2017,10/18/2017,14,28.24179,Unknown / Unidentified
2017,10/23/2017,10/23/2017,14,0.08686703,Unknown / Unidentified
2017,10/16/2017,10/16/2017,14,0.07130744,Unknown / Unidentified
2017,10/9/2017,10/9/2017,14,0.258453,Unknown / Unidentified
2017,11/6/2017,11/6/2017,14,0.1501368,Unknown / Unidentified
2017,11/10/2017,11/10/2017,14,0.002960623,Unknown / Unidentified
2017,12/22/2017,12/22/2017,14,0.5389289,Unknown / Unidentified
2017,10/25/2017,10/25/2017,14,4.446725,Unknown / Unidentified
2017,12/20/2017,12/20/2017,14,0.009493228,Unknown / Unidentified
2017,12/22/2017,12/22/2017,14,0.001356887,Unknown / Unidentified
2017,9/26/2017,9/26/2017,14,27.64261,Unknown / Unidentified
2017,7/27/2017,8/3/2017,14,10.14809,Unknown / Unidentified
2017,7/5/2017,7/5/2017,11,13.89821,Powerline
2017,7/11/2017,7/17/2017,7,37.16428,Arson
2017,7/20/2017,7/23/2017,3,11.93284,Smoking
2017,7/12/2017,7/14/2017,2,11.73705,Equipment Use
2017,7/21/2017,7/31/2017,10,10.82112,Vehicle
2017,7/9/2017,7/9/2017,14,50.08102,Unknown / Unidentified
2017,8/5/2017,8/5/2017,14,12.87781,Unknown / Unidentified
2017,8/3/2017,8/5/2017,14,10.00226,Unknown / Unidentified
2017,8/30/2017,9/6/2017,14,392.4852,Unknown / Unidentified
2017,9/16/2017,9/17/2017,14,13.68829,Unknown / Unidentified
2017,10/8/2017,10/9/2017,14,11.55905,Unknown / Unidentified
2017,10/14/2017,10/15/2017,2,7.34516,Equipment Use
2017,8/1/2017,8/8/2017,14,29.1444,Unknown / Unidentified
2017,6/9/2017,6/9/2017,14,13.01627,Unknown / Unidentified
2017,8/20/2017,8/22/2017,11,867.0196,Powerline
2017,7/24/2017,7/28/2017,10,37.28971,Vehicle
2017,5/28/2017,6/3/2017,9,10.77169,Miscellaneous
2017,10/8/2017,10/11/2017,14,75.53836,Unknown / Unidentified
2017,10/10/2017,10/10/2017,10,19.13759,Vehicle
2017,10/8/2017,10/26/2017,14,820.6441,Unknown / Unidentified
2017,7/2/2017,7/9/2017,2,12.40011,Equipment Use
2017,9/8/2017,9/8/2017,14,22.50286,Unknown / Unidentified
2017,6/27/2017,6/27/2017,9,13.92714,Miscellaneous
2017,10/15/2017,10/16/2017,9,27.39173,Miscellaneous
2017,9/18/2017,9/18/2017,10,15.96021,Vehicle
2017,8/26/2017,8/28/2017,10,65.18426,Vehicle
2017,12/7/2017,12/24/2017,14,4080.615,Unknown / Unidentified
2017,7/11/2017,7/14/2017,10,332.5865,Vehicle
2017,5/20/2017,5/23/2017,9,1912.906,Miscellaneous
2017,8/21/2017,8/21/2017,14,142.9097,Unknown / Unidentified
2017,6/4/2017,6/4/2017,14,12.24801,Unknown / Unidentified
2017,9/1/2017,9/3/2017,14,135.0444,Unknown / Unidentified
2017,6/25/2017,6/26/2017,14,33.67333,Unknown / Unidentified
2017,8/17/2017,8/22/2017,9,10.30523,Miscellaneous
2017,9/3/2017,9/9/2017,10,677.8926,Vehicle
2017,6/10/2017,6/13/2017,9,1428.533,Miscellaneous
2017,9/3/2017,9/13/2017,11,988.4675,Powerline
2017,7/16/2017,8/31/2017,9,81826.27,Miscellaneous
2017,6/28/2017,7/6/2017,10,558.1425,Vehicle
2017,5/12/2017,5/13/2017,14,1730.466,Unknown / Unidentified
2017,7/3/2017,7/7/2017,2,208.2268,Equipment Use
2017,8/13/2017,8/13/2017,10,123.1079,Vehicle
2017,7/1/2017,7/1/2017,14,18.19828,Unknown / Unidentified
2017,6/23/2017,6/23/2017,14,11.68308,Unknown / Unidentified
2017,7/1/2017,7/1/2017,14,30.00042,Unknown / Unidentified
2017,5/24/2017,5/24/2017,14,12.65132,Unknown / Unidentified
2017,7/17/2017,7/17/2017,14,32.9806,Unknown / Unidentified
2017,7/15/2017,7/15/2017,14,15.62878,Unknown / Unidentified
2017,6/22/2017,6/22/2017,14,43.80302,Unknown / Unidentified
2017,7/17/2017,7/19/2017,14,53.44394,Unknown / Unidentified
2017,8/8/2017,8/9/2017,14,61.8303,Unknown / Unidentified
2017,7/27/2017,7/27/2017,4,4.213081,Campfire
2017,7/27/2017,7/27/2017,14,4.209119,Unknown / Unidentified
2017,8/3/2017,8/3/2017,14,37.01513,Unknown / Unidentified
2017,8/11/2017,10/12/2017,14,114.1168,Unknown / Unidentified
2017,8/13/2017,10/13/2017,14,9.767098,Unknown / Unidentified
2017,10/2/2017,10/3/2017,14,125.7918,Unknown / Unidentified
2017,7/6/2017,7/12/2017,10,2366.235,Vehicle
2017,8/27/2017,8/28/2017,14,17.76834,Unknown / Unidentified
2017,9/23/2017,9/23/2017,2,42.80334,Equipment Use
2017,10/7/2017,10/8/2017,14,18.28065,Unknown / Unidentified
2017,9/20/2017,9/21/2017,14,14.02686,Unknown / Unidentified
2017,9/5/2017,9/6/2017,14,21.26687,Unknown / Unidentified
2017,9/1/2017,9/2/2017,14,13.12532,Unknown / Unidentified
2017,10/6/2017,10/8/2017,14,54.95659,Unknown / Unidentified
2017,8/30/2017,8/30/2017,14,11.88886,Unknown / Unidentified
2017,10/8/2017,10/31/2017,14,55798.19,Unknown / Unidentified
2017,10/8/2017,10/15/2017,14,791.8881,Unknown / Unidentified
2017,10/8/2017,10/25/2017,14,106.0054,Unknown / Unidentified
2017,10/8/2017,11/1/2017,14,36701.98,Unknown / Unidentified
2017,10/8/2017,11/1/2017,14,17359.33,Unknown / Unidentified
2017,10/8/2017,11/1/2017,14,51624.66,Unknown / Unidentified
2017,10/9/2017,10/25/2017,14,2206.23,Unknown / Unidentified
2017,9/23/2017,9/24/2017,14,13.89886,Unknown / Unidentified
2017,8/23/2017,8/23/2017,14,23.23989,Unknown / Unidentified
2017,7/17/2017,7/20/2017,14,15.61061,Unknown / Unidentified
2017,7/27/2017,7/31/2017,1,21.24126,Lightning
2017,8/30/2017,9/5/2017,1,28.71929,Lightning
2017,9/12/2017,9/23/2017,1,10.83091,Lightning
2017,4/29/2017,4/29/2017,2,2.525276,Equipment Use
2017,6/25/2017,6/26/2017,7,759.7584,Arson
2017,6/17/2017,6/17/2017,14,733.2616,Unknown / Unidentified
2017,6/29/2017,7/2/2017,14,42.10419,Unknown / Unidentified
2017,5/15/2017,5/15/2017,4,2.574129,Campfire
2017,5/19/2017,5/19/2017,14,7.373501,Unknown / Unidentified
2017,6/8/2017,6/8/2017,14,105.0879,Unknown / Unidentified
2017,5/29/2017,5/29/2017,4,2.064039,Campfire
2017,6/3/2017,6/3/2017,14,25.30416,Unknown / Unidentified
2017,6/13/2017,6/13/2017,4,9.507282,Campfire
2017,6/22/2017,6/22/2017,2,0.1805364,Equipment Use
2017,7/4/2017,7/5/2017,8,0.03477105,Playing with fire
2017,7/29/2017,7/29/2017,14,0.5557644,Unknown / Unidentified
2017,7/31/2017,7/31/2017,14,2.911873,Unknown / Unidentified
2017,6/11/2017,6/11/2017,7,38.81298,Arson
2017,7/4/2017,7/4/2017,14,1.362349,Unknown / Unidentified
2017,6/30/2017,6/30/2017,2,18.74323,Equipment Use
2017,7/18/2017,7/18/2017,2,1.638321,Equipment Use
2017,7/9/2017,7/9/2017,8,1.342572,Playing with fire
2017,10/5/2017,10/6/2017,7,0.05247684,Arson
2017,6/19/2017,6/19/2017,14,32.93502,Unknown / Unidentified
2017,10/29/2017,10/29/2017,14,0.2426913,Unknown / Unidentified
2017,10/21/2017,10/21/2017,14,0.02775379,Unknown / Unidentified
2017,9/28/2017,9/28/2017,14,0.3011239,Unknown / Unidentified
2017,9/9/2017,9/9/2017,11,0.139297,Powerline
2017,8/13/2017,8/13/2017,14,65.97264,Unknown / Unidentified
2017,7/25/2017,7/25/2017,14,1.132044,Unknown / Unidentified
2017,7/13/2017,7/15/2017,8,35.99306,Playing with fire
2017,7/23/2017,7/23/2017,14,61.10294,Unknown / Unidentified
2017,7/28/2017,7/28/2017,14,149.61,Unknown / Unidentified
2017,8/27/2017,8/28/2017,2,36.46341,Equipment Use
2017,11/12/2017,11/12/2017,14,0.247208,Unknown / Unidentified
2017,11/13/2017,11/13/2017,2,0.07016324,Equipment Use
2017,12/18/2017,12/18/2017,2,0.1799399,Equipment Use
2017,8/7/2017,8/7/2017,11,81.70621,Powerline
2017,12/5/2017,12/5/2017,14,15619.15,Unknown / Unidentified
2017,12/5/2017,12/13/2017,14,6047.719,Unknown / Unidentified
2017,5/20/2017,5/20/2017,14,449.7781,Unknown / Unidentified
2017,5/12/2017,5/12/2017,14,30.58594,Unknown / Unidentified
2017,5/28/2017,5/28/2017,14,6.240428,Unknown / Unidentified
2017,7/7/2017,7/7/2017,2,2940.496,Equipment Use
2017,10/26/2017,10/26/2017,14,46.81921,Unknown / Unidentified
2017,8/24/2017,8/24/2017,14,10.06964,Unknown / Unidentified
2017,9/29/2017,9/29/2017,14,39.75837,Unknown / Unidentified
