station,lat,lon,elev,name
US1CAAL0001,37.8123,-122.216,113.4,CA PIEDMONT 1.0 SE                             
US1CAAL0002,37.7075,-122.0687,87.5,CA CASTRO VALLEY 0.5 WSW                       
US1CAAL0003,37.7169,-122.0585,163.4,CA CASTRO VALLEY 0.4 NNE                       
US1CAAL0004,37.6483,-121.8745,107.0,CA PLEASANTON 1.8 SSE                          
US1CAAL0006,37.8319,-122.2503,58.2,CA OAKLAND 4.4 NNW                             
US1CAAL0007,37.515,-121.9523,9.1,CA FREMONT 2.6 ESE                             
US1CAAL0008,37.8557,-122.2301,268.8,CA BERKELEY 3.8 ESE                            
US1CAAL0011,37.6821,-122.1332,9.1,CA SAN LORENZO 0.5 NNW                         
US1CAAL0012,37.6702,-121.8814,104.9,CA PLEASANTON 0.4 ESE                          
US1CAAM0002,38.4969,-120.5604,1063.1,CA VOLCANO 5.4 NE                              
US1CAAM0003,38.4986,-120.5364,1115.3,CA VOLCANO 6.4 NE                              
US1CAAM0004,38.3904,-120.8045,385.9,CA SUTTER CREEK 0.1 WSW                        
US1CAAM0005,38.5054,-120.4993,1241.5,CA PIONEER 6.4 NE                              
US1CAAM0006,38.3892,-120.6412,827.2,CA PINE GROVE 1.9 SSE                          
US1CABT0002,39.514,-121.518,163.1,CA OROVILLE 2.7 ENE                            
US1CABT0005,39.4932,-121.477,203.6,CA OROVILLE 4.8 E                              
US1CABT0007,39.7697,-121.8138,76.5,CA CHICO 1.2 NNW                               
US1CABT0008,39.7385,-121.832,64.0,CA CHICO 1.7 SW                                
US1CABT0009,39.7494,-121.8614,57.9,CA CHICO 2.9 W                                 
US1CABT0010,39.859,-121.9048,81.1,CA CHICO 8.9 NW                                
US1CABT0011,39.7387,-121.7984,75.6,CA CHICO 1.1 SSE                               
US1CABT0012,39.737,-121.832,63.7,CA CHICO 1.8 SW                                
US1CABT0013,39.5311,-121.4886,120.1,CA OROVILLE 4.6 ENE                            
US1CABT0015,39.7549,-121.7823,110.3,CA CHICO 1.3 E                                 
US1CACC0001,37.9898,-122.1085,76.8,CA MARTINEZ 0.8 SSE                            
US1CACC0003,37.9485,-122.0541,17.4,CA PLEASANT HILL 1.2 ESE                       
US1CACC0004,37.8783,-122.0338,74.1,CA WALNUT CREEK 1.7 SSE                        
US1CACC0006,37.8937,-122.1043,75.6,CA LAFAYETTE 0.7 E                             
US1CACC0007,37.909,-122.1547,250.5,CA LAFAYETTE 2.3 WNW                           
US1CACC0008,38.0545,-122.2327,64.9,CA CROCKETT 0.7 WNW                            
US1CACC0010,37.8883,-122.1526,157.9,CA LAFAYETTE 1.9 WSW                           
US1CACC0011,37.9744,-122.1384,210.9,CA MARTINEZ 2.2 SW                             
US1CACC0012,37.9786,-121.8381,54.3,CA ANTIOCH 2.2 WSW                             
US1CACC0014,37.8538,-122.0157,100.9,CA ALAMO 1.0 WSW                               
US1CACC0016,37.9783,-122.0134,37.8,CA CONCORD 0.8 WNW                             
US1CACC0018,37.8846,-122.0285,84.4,CA WALNUT CREEK 1.4 SSE                        
US1CACC0019,37.916,-122.0232,47.5,CA WALNUT CREEK 1.4 NE                         
US1CACC0021,37.9593,-121.7811,74.7,CA ANTIOCH 2.2 SSE                             
US1CACC0025,37.8698,-122.1384,228.0,CA MORAGA 2.4 NNW                              
US1CACV0002,38.1967,-120.9728,90.8,CA WALLACE 0.3 NE                              
US1CADN0001,41.824,-124.1482,19.8,CA CRESCENT CITY 5.5 NNE                       
US1CADN0005,41.7998,-124.1428,29.9,CA CRESCENT CITY 4.2 NE                        
US1CADN0006,41.9153,-124.136,36.6,CA SMITH RIVER 1.1 SSE                         
US1CADN0007,41.8653,-124.1513,14.9,CA FORT DICK 0.2 SSW                           
US1CAED0001,38.6857,-120.8239,541.9,CA DIAMOND SPRINGS 0.1 W                       
US1CAED0003,38.6953,-120.849,534.9,CA PLACERVILLE 3.7 SW                          
US1CAED0006,38.672,-120.9759,431.0,CA CAMERON PARK 0.9 SE                         
US1CAED0007,38.5925,-120.6094,1033.3,CA FAIR PLAY 2.8 ESE                           
US1CAED0010,38.7392,-120.7846,620.6,CA PLACERVILLE 0.9 NE                          
US1CAED0011,38.757,-120.5775,1187.2,CA POLLOCK PINES 0.5 NW                        
US1CAED0012,38.7186,-120.634,947.3,CA CAMINO 2.6 ESE                              
US1CAED0014,38.7135,-121.0816,213.4,CA EL DORADO HILLS 1.9 N                       
US1CAFR0001,36.7801,-119.8111,92.4,CA FRESNO 3.4 SSE                              
US1CAFR0002,36.8611,-119.6931,116.4,CA CLOVIS 2.9 N                                
US1CAFR0003,36.9897,-119.3971,509.9,CA TOLLHOUSE 2.0 SSE                           
US1CAFR0005,36.9342,-119.3586,425.8,CA TOLLHOUSE 6.2 SSE                           
US1CAFR0006,36.798,-119.5535,127.4,CA SANGER 6.8 N                                
US1CAFR0007,36.8362,-119.8293,101.5,CA FRESNO 4.3 NNW                              
US1CAFR0008,36.5702,-120.0892,55.8,CA HELM 2.7 NNE                                
US1CAFR0009,36.9785,-119.3964,643.4,CA TOLLHOUSE 2.8 SSE                           
