station,2021-01-05
US1CAAL0001,14.2
US1CAAL0003,11.9
US1CAAL0004,11.9
US1CAAL0006,5.6
US1CAAL0012,7.6
US1CAAL0025,4.8
US1CAAL0030,13.0
US1CAAL0034,5.3
US1CAAL0050,3.0
US1CAAL0052,3.6
US1CAAL0053,7.4
US1CAAM0007,20.8
US1CAAM0009,17.3
US1CAAM0011,6.4
US1CAAM0013,15.7
US1CAAM0015,10.7
US1CAAM0016,9.1
US1CABT0005,13.0
US1CABT0008,10.2
US1CABT0009,13.0
US1CABT0013,39.4
US1CABT0015,12.2
US1CABT0019,11.4
US1CABT0026,12.4
US1CABT0033,14.7
US1CACC0001,6.6
US1CACC0004,10.2
US1CACC0006,13.5
US1CACC0011,7.9
US1CACC0012,2.5
US1CACC0018,9.7
US1CACC0025,11.9
US1CACC0028,9.7
US1CACC0031,11.4
US1CACC0036,2.5
US1CACC0037,6.1
US1CACC0040,8.4
US1CACC0043,9.4
US1CACC0045,16.0
US1CACC0046,3.0
US1CACC0047,5.3
US1CACV0011,10.4
US1CADN0001,11.4
US1CADN0005,5.1
US1CADN0006,20.1
US1CADN0007,23.6
US1CADN0008,18.3
US1CADN0011,9.1
US1CADN0015,14.7
US1CADN0017,4.6
US1CAED0003,19.1
US1CAED0010,19.8
US1CAED0017,23.1
US1CAED0020,6.4
US1CAED0023,8.4
US1CAED0027,26.4
US1CAED0029,17.3
US1CAED0032,20.1
US1CAED0033,10.4
US1CAFR0002,0.0
US1CAFR0008,0.0
US1CAFR0014,0.0
US1CAFR0026,0.3
US1CAFR0031,0.0
US1CAFR0034,0.0
US1CAHM0001,13.5
US1CAHM0004,26.7
US1CAHM0005,21.6
US1CAHM0006,14.0
US1CAHM0007,14.0
US1CAHM0009,19.8
US1CAHM0012,8.9
US1CAHM0013,0.5
US1CAHM0014,18.3
US1CAHM0022,24.9
US1CAHM0026,32.8
US1CAHM0029,0.0
US1CAHM0030,11.2
US1CAHM0031,12.4
US1CAHM0034,10.2
US1CAHM0035,9.4
US1CAHM0037,20.3
US1CAHM0038,17.5
US1CAHM0039,23.9
US1CAHM0041,18.5
US1CAHM0044,14.7
US1CAHM0046,27.9
US1CAHM0048,22.1
US1CAHM0051,18.5
US1CAHM0054,21.8
US1CAHM0060,26.4
US1CAHM0063,9.9
US1CAHM0065,16.5
US1CAHM0066,25.7
US1CAHM0070,19.1
US1CAHM0073,5.3
US1CAHM0074,7.9
US1CAHM0075,7.1
US1CAHM0077,8.9
US1CAHM0078,0.0
US1CAHM0079,22.1
US1CAHM0081,11.9
US1CAHM0084,14.2
US1CAHM0086,23.6
US1CAHM0087,23.4
US1CAHM0088,4.6
US1CAHM0089,9.4
US1CAHM0091,21.6
US1CAHM0092,22.6
US1CAHM0093,15.7
US1CAHM0094,10.2
US1CAHM0095,3.8
US1CAHM0098,7.9
US1CAHM0102,12.4
US1CAHM0103,24.1
US1CAHM0104,9.1
US1CAIN0008,0.0
US1CAIN0012,0.0
US1CAIN0013,0.0
US1CAKG0003,0.0
US1CAKG0004,0.0
US1CAKG0005,0.0
US1CAKN0001,0.0
US1CAKN0013,0.0
US1CAKN0017,0.0
US1CAKN0022,0.0
US1CAKN0026,0.0
US1CAKN0031,0.0
US1CAKN0034,0.0
US1CALA0001,0.0
US1CALA0003,0.0
US1CALA0005,0.0
US1CALA0010,0.0
US1CALA0014,0.0
US1CALA0021,0.0
US1CALA0023,0.0
US1CALA0036,0.0
US1CALA0043,0.0
US1CALA0048,0.0
US1CALA0064,0.0
US1CALA0068,0.0
US1CALA0077,0.0
US1CALA0081,0.0
US1CALA0089,0.0
US1CALA0090,0.0
US1CALA0091,0.0
US1CALA0092,0.0
US1CALA0096,0.0
US1CALA0104,0.0
US1CALA0108,0.0
US1CALK0004,9.1
US1CALK0006,22.6
US1CALK0009,7.9
US1CALK0014,4.8
US1CALK0017,8.1
US1CALS0001,29.5
US1CALS0002,5.6
US1CAMA0002,1.0
US1CAMA0003,0.5
US1CAMA0004,3.3
US1CAMA0007,1.3
US1CAMA0008,1.0
US1CAMA0009,0.5
US1CAMA0012,0.8
US1CAMA0016,1.0
US1CAMA0017,1.3
US1CAMD0001,18.3
US1CAMD0003,2.5
US1CAMD0007,14.5
US1CAMD0014,9.4
US1CAMD0017,31.2
US1CAMD0021,7.4
US1CAMD0022,24.9
US1CAMD0026,6.9
US1CAMD0029,5.6
US1CAMD0030,10.4
US1CAMD0033,6.6
US1CAMD0038,18.5
US1CAMD0039,5.8
US1CAMD0040,15.5
US1CAMD0042,3.6
US1CAMD0044,12.4
US1CAMD0045,6.9
US1CAME0004,0.0
US1CAMN0004,0.0
US1CAMP0001,3.3
US1CAMP0002,5.3
US1CAMP0004,0.8
US1CAMR0002,20.1
US1CAMR0004,0.0
US1CAMR0005,13.2
US1CAMR0009,8.9
US1CAMR0013,10.4
US1CAMR0016,12.4
US1CAMR0024,3.3
US1CAMR0025,14.0
US1CAMR0026,10.7
US1CAMR0029,10.4
US1CAMR0030,0.3
US1CAMR0031,20.8
US1CAMR0032,0.8
US1CAMR0035,8.4
US1CAMR0040,15.0
US1CAMR0049,10.9
US1CAMR0053,11.7
US1CAMR0054,27.2
US1CAMT0003,0.0
US1CAMT0006,0.0
US1CAMT0019,0.3
US1CAMT0020,1.0
US1CAMT0027,11.2
US1CAMT0033,0.8
US1CAMT0038,1.0
US1CAMT0041,0.0
US1CAMT0042,3.8
US1CAMT0043,1.0
US1CAMT0046,6.1
US1CAMT0048,0.8
US1CAMT0049,0.8
US1CANP0007,19.1
US1CANV0001,20.6
US1CANV0010,16.3
US1CANV0014,13.0
US1CANV0022,19.8
US1CANV0035,25.7
US1CANV0036,22.1
US1CANV0041,21.1
US1CANV0047,4.1
US1CANV0050,13.7
US1CANV0051,11.2
US1CANV0052,25.4
US1CANV0053,0.3
US1CAOR0005,0.0
US1CAOR0006,0.0
US1CAOR0016,0.0
US1CAOR0019,0.0
US1CAOR0021,0.0
US1CAOR0026,0.0
US1CAOR0027,0.0
US1CAOR0031,0.0
US1CAOR0039,0.0
US1CAOR0042,0.0
US1CAOR0043,0.0
US1CAOR0061,0.0
US1CAOR0067,0.0
US1CAOR0070,0.0
US1CAOR0072,0.0
US1CAOR0077,0.0
US1CAPC0001,26.7
US1CAPC0007,0.0
US1CAPC0010,6.1
US1CAPC0011,17.3
US1CAPC0013,6.9
US1CAPC0021,5.8
US1CAPC0024,21.1
US1CAPC0032,10.4
US1CAPC0034,6.4
US1CAPC0035,4.3
US1CAPC0037,13.2
US1CAPC0047,0.3
US1CAPC0049,5.8
US1CAPM0002,51.3
US1CAPM0009,2.5
US1CARV0005,0.0
US1CARV0008,0.0
US1CARV0015,0.0
US1CARV0018,0.0
US1CARV0020,0.0
US1CARV0034,0.0
US1CARV0036,0.0
US1CARV0038,0.0
US1CARV0043,0.0
US1CARV0050,0.0
US1CARV0058,0.0
US1CARV0060,0.0
US1CARV0061,0.0
US1CARV0063,0.0
US1CARV0065,0.0
US1CARV0072,0.0
US1CARV0077,0.0
US1CARV0078,0.0
US1CARV0079,0.0
US1CARV0080,0.0
US1CASA0002,5.1
US1CASA0005,4.8
US1CASA0006,4.6
US1CASA0007,7.1
US1CASA0012,5.3
US1CASA0029,8.6
US1CASA0030,5.1
US1CASA0035,3.3
US1CASA0045,0.0
US1CASA0051,4.8
US1CASA0057,5.8
US1CASA0058,4.6
US1CASA0061,5.3
US1CASA0063,5.6
US1CASA0070,5.3
US1CASB0001,0.3
US1CASB0005,0.0
US1CASB0007,0.0
US1CASC0003,0.0
US1CASC0011,0.0
US1CASC0012,0.0
US1CASC0015,3.8
US1CASC0032,0.5
US1CASC0040,12.2
US1CASC0042,0.8
US1CASC0045,0.0
US1CASC0048,2.8
US1CASC0052,0.5
US1CASC0053,14.7
US1CASC0054,3.0
US1CASC0057,0.0
US1CASC0063,6.6
US1CASC0069,0.3
US1CASC0070,5.1
US1CASD0001,0.0
US1CASD0006,0.0
US1CASD0007,0.0
US1CASD0009,0.0
US1CASD0010,0.3
US1CASD0011,0.0
US1CASD0012,0.0
US1CASD0018,0.0
US1CASD0022,0.0
US1CASD0024,0.0
US1CASD0027,0.0
US1CASD0029,0.0
US1CASD0030,0.0
US1CASD0035,0.0
US1CASD0040,0.0
US1CASD0049,0.0
US1CASD0052,0.0
US1CASD0053,0.0
US1CASD0055,0.0
US1CASD0057,0.0
US1CASD0059,0.0
US1CASD0060,0.0
US1CASD0076,0.0
US1CASD0080,0.0
US1CASD0086,0.0
US1CASD0090,0.0
US1CASD0097,0.0
US1CASD0099,0.0
US1CASD0101,0.0
US1CASD0103,0.0
US1CASD0104,0.0
US1CASD0105,0.0
US1CASD0114,0.3
US1CASD0115,0.0
US1CASD0117,0.0
US1CASD0120,0.0
US1CASD0123,0.0
US1CASD0128,0.0
US1CASD0130,0.0
US1CASD0131,0.3
US1CASD0132,0.0
US1CASD0133,0.0
US1CASD0146,0.0
US1CASD0147,0.0
US1CASD0157,0.0
US1CASD0164,0.0
US1CASD0172,0.0
US1CASD0173,0.0
US1CASD0180,0.0
US1CASD0184,0.0
US1CASD0186,0.0
US1CASD0191,0.0
US1CASD0193,0.0
US1CASD0195,0.0
US1CASD0197,0.0
US1CASD0199,0.0
US1CASD0207,0.0
US1CASD0213,0.0
US1CASF0004,0.0
US1CASF0017,6.9
US1CASH0006,7.9
US1CASH0010,33.3
US1CASH0011,24.1
US1CASH0018,17.3
US1CASH0022,28.7
US1CASH0030,18.8
US1CASH0051,13.0
US1CASH0056,25.1
US1CASH0057,2.8
US1CASH0059,5.6
US1CASH0068,10.2
US1CASH0069,17.0
US1CASH0071,3.8
US1CASH0077,14.0
US1CASH0078,23.4
US1CASJ0001,2.8
US1CASJ0004,3.3
US1CASJ0005,3.6
US1CASJ0014,0.3
US1CASJ0015,4.1
US1CASJ0017,1.0
US1CASK0003,8.6
US1CASK0004,17.8
US1CASK0005,9.1
US1CASK0009,35.6
US1CASK0010,4.6
US1CASK0011,23.1
US1CASK0020,2.5
US1CASK0024,15.0
US1CASK0026,13.2
US1CASK0027,20.8
US1CASL0008,0.0
US1CASL0016,1.3
US1CASL0026,0.5
US1CASL0031,0.5
US1CASM0001,10.4
US1CASM0005,0.0
US1CASM0006,3.6
US1CASM0009,9.7
US1CASM0013,17.8
US1CASM0015,8.4
US1CASM0016,9.9
US1CASM0018,6.4
US1CASM0019,9.1
US1CASM0025,6.4
US1CASM0033,11.7
US1CASM0038,7.9
US1CASM0039,11.9
US1CASM0042,6.4
US1CASN0006,13.2
US1CASN0013,19.1
US1CASN0016,15.5
US1CASN0029,15.7
US1CASN0042,13.5
US1CASN0049,16.8
US1CASN0050,16.3
US1CASN0061,19.6
US1CASN0062,6.9
US1CASN0063,13.5
US1CASN0070,20.1
US1CASN0074,20.1
US1CASN0078,16.8
US1CASN0080,18.3
US1CASN0081,13.5
US1CASN0084,9.9
US1CASN0088,14.2
US1CASN0089,15.0
US1CASN0090,13.0
US1CASN0093,10.9
US1CASN0098,20.1
US1CASN0099,13.2
US1CASN0100,19.3
US1CASN0103,25.1
US1CASN0104,19.1
US1CASN0106,24.9
US1CASN0112,11.2
US1CASN0115,7.6
US1CASN0116,16.3
US1CASN0117,16.0
US1CASN0121,17.3
US1CASN0122,18.5
US1CASN0125,1.0
US1CASN0126,12.7
US1CASN0128,11.9
US1CASN0131,8.9
US1CASN0133,14.5
US1CASN0139,20.6
US1CASN0141,20.6
US1CASN0142,15.5
US1CASN0148,19.3
US1CASN0149,9.1
US1CASN0151,12.2
US1CASN0152,21.1
US1CASN0153,15.5
US1CASN0159,17.5
US1CASN0160,9.7
US1CASN0164,15.2
US1CASN0166,9.9
US1CASN0168,15.5
US1CASO0001,4.6
US1CASO0003,5.1
US1CASO0006,4.1
US1CASO0007,7.6
US1CASO0010,4.1
US1CASO0012,5.8
US1CASO0014,7.9
US1CASO0016,6.4
US1CASR0014,0.0
US1CASR0026,0.0
US1CASR0027,0.0
US1CASR0029,0.0
US1CASR0034,0.0
US1CASR0044,0.0
US1CASR0052,0.0
US1CASR0053,0.0
US1CASR0055,0.0
US1CASR0058,0.0
US1CASR0068,0.0
US1CASR0069,0.0
US1CASR0072,0.0
US1CASR0073,0.0
US1CASR0074,0.0
US1CASR0084,0.0
US1CASR0085,0.0
US1CASS0001,0.8
US1CASS0006,0.5
US1CASS0007,2.0
US1CASS0010,0.3
US1CAST0005,0.5
US1CAST0006,1.0
US1CAST0008,1.0
US1CAST0009,0.5
US1CAST0010,0.8
US1CASZ0006,0.0
US1CASZ0021,14.0
US1CASZ0024,18.8
US1CASZ0041,18.8
US1CASZ0044,10.4
US1CASZ0045,6.4
US1CASZ0047,17.8
US1CASZ0048,26.2
US1CASZ0050,28.2
US1CASZ0051,7.1
US1CASZ0052,8.1
US1CASZ0053,7.6
US1CASZ0055,9.7
US1CASZ0057,10.4
US1CASZ0058,0.0
US1CASZ0059,14.2
US1CASZ0060,16.0
US1CATH0005,8.9
US1CATH0008,4.1
US1CATH0010,10.2
US1CATH0012,10.4
US1CATH0018,10.7
US1CATH0019,0.0
US1CATH0028,2.8
US1CATH0029,8.6
US1CATH0030,6.1
US1CATH0049,13.5
US1CATH0051,13.5
US1CATL0005,0.0
US1CATL0011,0.0
US1CATL0017,0.0
US1CATL0026,0.0
US1CATM0003,17.8
US1CATM0005,18.3
US1CATM0007,14.7
US1CATY0005,13.0
US1CATY0006,21.3
US1CATY0011,17.5
US1CATY0026,26.4
US1CATY0028,34.0
US1CATY0031,14.5
US1CATY0036,32.8
US1CATY0037,16.8
US1CATY0038,21.1
US1CATY0039,18.5
US1CAVT0001,0.0
US1CAVT0002,0.0
US1CAVT0016,0.0
US1CAVT0018,0.0
US1CAVT0028,0.0
US1CAVT0029,0.0
US1CAVT0030,0.0
US1CAYB0001,31.2
US1CAYB0003,7.6
US1CAYB0004,6.9
US1CAYL0001,4.3
US1CAYL0002,2.0
US1CAYL0009,2.3
US1CAYL0013,3.0
US1CAYL0014,2.3
US1CAYL0019,4.1
US1CAYL0021,3.0
US1CAYL0023,1.3
US1CAYL0028,2.8
US1CAYL0029,3.3
USC00026250,0.0
USC00040010,4.6
USC00040029,0.5
USC00040136,0.0
USC00040144,0.0
USC00040162,16.3
USC00040192,0.0
USC00040212,0.0
USC00040232,0.0
USC00040343,0.0
USC00040383,10.9
USC00040444,0.0
USC00040449,0.0
USC00040521,0.0
USC00040673,0.0
USC00040693,0.3
USC00040741,0.0
USC00040790,0.3
USC00040798,0.0
USC00040924,0.0
USC00040931,6.4
USC00040943,2.3
USC00040983,0.0
USC00041018,53.3
USC00041072,0.0
USC00041149,0.0
USC00041159,24.9
USC00041194,0.0
USC00041253,0.3
USC00041277,0.0
USC00041312,0.0
USC00041424,0.0
USC00041428,0.3
USC00041497,33.0
USC00041534,0.0
USC00041614,14.0
USC00041697,19.8
USC00041700,24.4
USC00041738,0.0
USC00041758,0.0
USC00041838,2.5
USC00041879,0.0
USC00041907,0.0
USC00041912,0.3
USC00041916,2.8
USC00041948,0.0
USC00041990,8.9
USC00042012,0.0
USC00042090,0.0
USC00042214,0.0
USC00042239,0.0
USC00042294,3.3
USC00042319,0.0
USC00042327,0.0
USC00042346,0.0
USC00042402,0.5
USC00042500,0.0
USC00042574,26.9
USC00042598,0.0
USC00042706,0.0
USC00042709,0.0
USC00042713,0.0
USC00042805,0.0
USC00042863,0.0
USC00042920,3.3
USC00042934,0.0
USC00042941,0.0
USC00042964,0.0
USC00043038,11.4
USC00043083,0.0
USC00043134,0.0
USC00043157,0.0
USC00043161,0.8
USC00043182,13.0
USC00043191,0.8
USC00043244,0.0
USC00043251,0.0
USC00043256,0.0
USC00043384,15.2
USC00043402,0.0
USC00043417,0.0
USC00043491,25.1
USC00043573,23.4
USC00043578,0.5
USC00043669,14.0
USC00043714,0.3
USC00043747,0.0
USC00043800,0.0
USC00043824,6.6
USC00043855,0.0
USC00043875,0.3
USC00043882,2.0
USC00043896,0.0
USC00043914,0.0
USC00043939,12.4
USC00044025,4.1
USC00044211,0.0
USC00044223,0.0
USC00044259,0.0
USC00044297,0.0
USC00044303,0.0
USC00044394,0.0
USC00044405,0.0
USC00044412,0.0
USC00044422,0.0
USC00044484,0.0
USC00044500,0.0
USC00044534,0.0
USC00044555,0.0
USC00044710,0.0
USC00044712,4.8
USC00044881,0.0
USC00044890,0.0
USC00044957,0.0
USC00044997,0.0
USC00045026,0.0
USC00045064,0.0
USC00045091,0.0
USC00045100,0.0
USC00045118,0.0
USC00045119,0.0
USC00045280,0.0
USC00045311,12.7
USC00045360,10.2
USC00045449,25.4
USC00045502,0.0
USC00045532,0.0
USC00045598,36.6
USC00045679,26.9
USC00045795,0.0
USC00045860,0.0
USC00045866,0.0
USC00045915,9.1
USC00045933,0.0
USC00045968,0.0
USC00045983,38.1
USC00046027,0.0
USC00046074,0.0
USC00046136,12.7
USC00046144,0.0
USC00046154,0.0
USC00046168,0.0
USC00046174,7.1
USC00046175,0.0
