Year,Fire Name,Alarm Date,Containment Date,Duration (Days),Cause,Acres,Area,Perimeter
2023,WHITWORTH,2023-06-17,2023-06-17,0.0,Debris,5.729125,41407.83984375,1247.16603398886
2023,KAISER,2023-06-02,2023-06-02,0.0,Debris,13.60238,93455.87890625,1285.51454971661
2023,JACKSON,2023-07-01,2023-07-02,1.0,Equipment Use,27.81446,183028.5,2697.58742917456
2023,CARBON,2023-07-11,2023-07-11,0.0,Miscellaneous,58.76023,388221.953125,2548.73877855158
2023,LIBERTY,2023-07-11,2023-07-12,1.0,Unknown / Unidentified,70.979,466456.0078125,5106.93652582734
2023,CLAY,2023-06-18,2023-06-18,0.0,Unknown / Unidentified,28.63791,188516.984375,1941.50983446427
2023,PAICINES,2023-07-13,2023-07-13,0.0,Vehicle,13.59313,85835.91796875,1776.4387595018
2023,VINEYARD,2023-07-09,2023-07-10,1.0,Unknown / Unidentified,391.3749,2412533.5546875,10733.8123075036
2023,SLACKS,2023-07-15,2023-07-17,2.0,Vehicle,40.41796,249660.2734375,2407.16695678565
2023,IDRIA,2023-07-19,2023-07-19,0.0,Unknown / Unidentified,296.6445,1860464.30078125,10225.7742396832
2023,WONDER,2023-07-24,2023-07-28,4.0,Railroad,161.8137,1141858.58984375,7184.88555633728
2023,PINE,2023-06-15,2023-06-15,0.0,Equipment Use,11.91801,83320.984375,1388.85090723164
2023,OLIVE,2023-07-29,2023-07-29,0.0,Equipment Use,20.67,143460.0078125,2544.54186805971
2023,TURKEY,2023-07-26,2023-07-31,5.0,Arson,52.17383,354598.3046875,3866.55622041301
2023,VIRGINIA,2023-06-21,2023-06-21,0.0,Campfire,10.07201,68524.96875,1209.30553410994
2023,RABBIT,2023-07-14,2023-07-23,9.0,Vehicle,8354.776,49193097.9453125,47639.7437077098
2023,HIGHLAND,2023-07-14,2023-07-23,9.0,Unknown / Unidentified,104.0207,612635.0234375,3915.57257152357
2023,RECHE,2023-07-14,2023-07-23,9.0,Arson,435.684,2570257.99609375,8565.27516599609
2023,GAVILAN,2023-07-15,2023-07-23,8.0,Unknown / Unidentified,334.5828,1966205.47265625,7959.66657521688
2023,RAMONA,2023-05-22,2023-05-26,4.0,Equipment Use,337.9316,1986003.47265625,7664.10111785175
2023,CEMETERY,2023-08-09,2023-08-09,0.0,Unknown / Unidentified,74.10231,502589.3828125,3982.26722140786
2023,1-10,2023-08-15,2023-08-18,3.0,Lightning,56.87772,392924.71875,3555.76506096679
2023,CANA,2023-09-16,2023-09-16,0.0,Powerline,19.28816,132527.5546875,1574.848975552
2023,MISTY,2023-10-14,2023-10-14,0.0,Equipment Use,11.7,77082.015625,1326.14840721991
2023,HIGHLAND,2023-10-30,2023-11-08,9.0,Miscellaneous,2487,14121208.0507813,47327.1125758144
2023,PLYMOUTH,2023-11-02,2023-11-02,0.0,Debris,11.1,71774.98046875,1248.54278186756
2023,WALL,2023-11-12,2023-11-12,0.0,Arson,11.12262,75606.7890625,1183.889292658
2023,HOSTLY,2023-05-01,2023-05-01,0.0,Powerline,83.71268,512475.94921875,3523.40996548146
2023,ADOBE,2023-05-03,2023-05-03,0.0,Unknown / Unidentified,5.948729,36450.41796875,1312.57107632531
2023,LAZY,2023-05-10,2023-05-10,0.0,Unknown / Unidentified,3.267727,19948.7890625,742.667896509371
2023,BITTER,2023-05-12,2023-05-12,0.0,Unknown / Unidentified,225.6406,1383222.34765625,5326.45543821856
2023,LAVENDER ,2023-05-14,2023-05-14,0.0,Equipment Use,14.74279,90465.5625,1800.28339730919
2023,POND,2023-05-18,2023-05-18,0.0,Unknown / Unidentified,6.763345,44627.17578125,1060.99837142796
2023,ELK,2023-05-21,2023-05-21,0.0,Unknown / Unidentified,9.687215,58624.11328125,1374.36226100426
2023,TOLL,2023-05-22,2023-05-22,0.0,Unknown / Unidentified,6.860587,41750.76171875,1105.91052052054
2023,POINT,2023-06-04,2023-06-04,0.0,Equipment Use,4.915308,29805.7109375,907.303007096636
2023,PENTLAND,2023-06-05,2023-06-06,1.0,Unknown / Unidentified,83.47556,504927.51171875,4146.01597875623
2023,LITTLE,2023-06-08,2023-06-08,0.0,Debris,59.26785,363380.9921875,3161.21385528543
2023,ELK,2023-06-13,2023-06-13,0.0,Powerline,5.666053,34513.80078125,1180.02780027584
2023,TANK,2023-06-20,2023-06-21,1.0,Unknown / Unidentified,5.777378,35535.09375,1446.9448978274
2023,FAMOSO,2023-06-23,2023-06-23,0.0,Unknown / Unidentified,6.419109,39402.58203125,773.845044652949
2023,LAST,2023-06-24,2023-06-24,0.0,Unknown / Unidentified,3.334712,20361.14453125,646.584897570341
2023,POST,2023-06-27,2023-06-27,0.0,Unknown / Unidentified,5.966745,36596.77734375,1362.92193236612
2023,WATER,2023-06-27,2023-06-27,0.0,Unknown / Unidentified,7.961721,48856.96875,1201.87791796314
2023,CHAMPAGNE,2023-06-30,2023-06-30,0.0,Powerline,107.8487,651052.49609375,4648.68537232396
2023,TRUCK,2023-06-30,2023-07-01,1.0,Unknown / Unidentified,17.15697,103697.05078125,2221.2211032266
2023,ROUND,2023-07-03,2023-07-03,0.0,Unknown / Unidentified,536.0197,3290774.2578125,11616.3652403161
2023,CANYON,2023-07-02,2023-07-03,1.0,Unknown / Unidentified,9.05986,54912.9453125,1875.04816244704
2023,SOUTH 2,2023-07-03,2023-07-03,0.0,Unknown / Unidentified,9.613276,67641.21484375,1438.10278837926
2023,TREE,2023-07-04,2023-07-04,0.0,Unknown / Unidentified,6.170191,37428.29296875,1100.11406446195
2023,BAKER,2023-07-11,2023-07-11,0.0,Unknown / Unidentified,3.72376,22675.671875,1174.85848737343
2023,MID,2023-07-13,2023-07-13,0.0,Unknown / Unidentified,4.990486,30309.01171875,777.184071121593
2023,DISTRICT,2023-07-07,2023-07-12,5.0,Unknown / Unidentified,1043.665,6292144.94140625,12913.9059085782
