station,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12
USC00043384,40.0,24.6,85.0,44.5,49.5,46.3,0.0,0.0,49.8,15.2,25.9,18.5
USC00048014,16.8,15.1,17.8,2.8,11.7,0.0,2.6,0.0,0.0,4.7,21.6,13.7
USW00023187,33.6,13.8,16.8,0.3,9.6,0.0,1.6,0.0,0.6,5.9,10.0,3.3
USC00048014,16.8,15.1,17.8,2.8,11.7,0.0,2.6,0.0,0.0,4.7,21.6,13.7
USW00023187,33.6,13.8,16.8,0.3,9.6,0.0,1.6,0.0,0.6,5.9,10.0,3.3
USW00023187,33.6,13.8,16.8,0.3,9.6,0.0,1.6,0.0,0.6,5.9,10.0,3.3
USW00023187,33.6,13.8,16.8,0.3,9.6,0.0,1.6,0.0,0.6,5.9,10.0,3.3
USC00040798,53.6,18.6,31.2,0.0,34.0,0.0,0.0,0.0,0.0,16.0,23.1,12.7
USC00042941,25.4,13.2,9.9,1.3,7.2,0.0,3.9,1.3,0.0,2.8,15.2,4.3
US1CASR0003,51.1,29.3,11.0,0.0,7.7,0.0,2.4,30.2,0.0,15.2,46.3,18.0
USC00046940,32.5,9.6,20.9,0.0,7.1,0.0,0.8,0.0,0.0,1.0,22.1,5.4
US1CASR0026,25.6,0.0,0.0,0.0,4.8,0.0,0.3,3.6,0.0,0.0,0.0,0.0
US1CASR0036,36.8,43.2,20.3,0.8,9.5,0.0,54.9,11.2,15.6,20.1,4.6,16.0
US1CASR0003,51.1,29.3,11.0,0.0,7.7,0.0,2.4,30.2,0.0,15.2,46.3,18.0
US1CARV0018,39.6,35.1,37.8,0.0,15.6,0.0,2.3,5.8,2.8,1.3,21.1,5.6
US1CARV0018,39.6,35.1,37.8,0.0,15.6,0.0,2.3,5.8,2.8,1.3,21.1,5.6
US1CASR0036,36.8,43.2,20.3,0.8,9.5,0.0,54.9,11.2,15.6,20.1,4.6,16.0
US1CASR0029,43.8,30.9,30.9,7.2,7.5,0.0,1.3,5.4,0.5,17.1,45.3,27.7
US1CASR0029,43.8,30.9,30.9,7.2,7.5,0.0,1.3,5.4,0.5,17.1,45.3,27.7
USC00044211,60.1,68.8,51.6,5.3,12.7,0.0,5.9,10.9,72.7,50.6,11.5,37.5
US1CASR0029,43.8,30.9,30.9,7.2,7.5,0.0,1.3,5.4,0.5,17.1,45.3,27.7
USC00044211,60.1,68.8,51.6,5.3,12.7,0.0,5.9,10.9,72.7,50.6,11.5,37.5
US1CASR0029,43.8,30.9,30.9,7.2,7.5,0.0,1.3,5.4,0.5,17.1,45.3,27.7
USC00046635,26.4,8.4,1.0,0.0,0.0,0.0,21.9,3.3,0.0,2.0,2.8,0.0
US1CASR0029,43.8,30.9,30.9,7.2,7.5,0.0,1.3,5.4,0.5,17.1,45.3,27.7
US1CASR0029,43.8,30.9,30.9,7.2,7.5,0.0,1.3,5.4,0.5,17.1,45.3,27.7
US1CARV0018,39.6,35.1,37.8,0.0,15.6,0.0,2.3,5.8,2.8,1.3,21.1,5.6
USC00044232,0.0,0.0,0.0,0.0,0.0,0.0,41.5,42.5,3.3,24.1,1.1,1.1
USW00023157,0.0,0.0,0.0,0.0,11.9,0.0,12.3,4.1,0.0,4.1,0.8,0.8
USC00044555,18.1,4.6,14.0,1.0,0.0,0.0,0.0,0.0,0.3,1.5,6.1,0.3
USC00046926,20.7,4.2,3.4,5.3,0.3,0.0,0.0,0.0,0.5,0.9,6.2,6.6
US1CAMT0008,10.6,3.8,11.5,1.8,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0
US1CAST0005,39.3,17.9,12.7,8.2,0.8,0.3,0.0,0.0,1.8,0.6,10.5,6.1
USC00046685,30.5,34.6,80.4,29.0,12.2,58.9,0.0,0.0,56.9,8.6,70.2,14.0
USC00042402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,53.2,16.3,75.2,18.5
US1CABT0016,35.7,94.0,37.6,51.5,35.0,59.4,0.0,0.0,60.9,16.6,81.5,0.0
USW00093210,17.5,14.5,51.9,19.3,7.9,14.5,0.0,0.0,20.1,2.3,37.9,8.4
USC00045679,44.0,38.6,133.9,37.4,55.4,29.3,0.0,0.0,6.1,33.5,46.1,14.8
USC00045679,44.0,38.6,133.9,37.4,55.4,29.3,0.0,0.0,6.1,33.5,46.1,14.8
US1CABT0005,26.4,24.6,83.6,20.2,13.5,23.3,0.0,3.8,19.8,3.5,53.0,11.4
US1CABT0005,26.4,24.6,83.6,20.2,13.5,23.3,0.0,3.8,19.8,3.5,53.0,11.4
USC00046154,3.0,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.8
USC00046154,3.0,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.8
USC00042506,6.9,0.0,9.6,18.1,24.2,8.5,3.4,0.0,9.9,17.6,0.0,6.3
USC00043463,44.8,38.9,9.9,15.2,5.6,0.0,0.3,18.0,3.8,15.8,29.5,28.4
USC00045756,0.0,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,14.0,1.3
USC00042713,16.0,0.8,0.8,0.0,0.0,0.0,0.0,14.2,18.3,0.0,28.5,1.0
US1CARV0012,27.2,34.8,23.3,1.3,5.1,0.0,0.0,0.0,0.0,13.5,21.7,14.2
USC00045968,63.7,56.7,33.3,0.3,8.9,0.0,58.4,48.3,62.0,30.5,27.2,23.8
US1CASD0013,57.6,58.9,46.5,3.9,14.5,0.0,9.9,7.4,11.4,38.1,27.7,34.8
USC00042709,51.6,32.8,32.0,3.1,14.8,0.0,3.8,2.3,0.0,52.1,16.2,26.7
USC00046657,62.0,87.9,22.8,1.5,15.8,0.0,17.0,0.0,57.2,67.1,25.5,24.4
US1CAED0012,36.0,26.1,90.7,59.5,48.0,32.3,0.0,0.0,33.8,16.7,41.4,18.5
US1CAAM0005,19.4,22.8,89.5,28.7,42.5,4.6,0.0,0.0,41.4,18.6,45.0,37.1
USC00046597,39.3,28.2,103.4,66.8,51.9,48.7,0.8,0.5,65.5,34.5,50.1,40.9
US1CAAM0005,19.4,22.8,89.5,28.7,42.5,4.6,0.0,0.0,41.4,18.6,45.0,37.1
USC00046896,20.8,32.6,10.4,5.3,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USC00046896,20.8,32.6,10.4,5.3,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USC00046896,20.8,32.6,10.4,5.3,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US1CAFR0009,37.6,28.8,31.2,9.7,13.8,0.0,2.5,1.3,0.0,7.9,24.9,17.5
US1CAFR0003,32.1,36.3,31.1,8.6,0.0,0.0,1.8,1.3,0.3,7.3,22.2,18.5
US1CAFR0002,16.8,22.6,23.6,10.6,2.8,0.0,2.8,10.4,2.0,1.8,12.2,7.7
US1CAHM0014,67.8,45.7,146.6,88.2,21.9,39.6,0.0,0.8,107.3,0.0,73.7,15.5
US1CAHM0014,67.8,45.7,146.6,88.2,21.9,39.6,0.0,0.8,107.3,0.0,73.7,15.5
US1CAHM0007,83.4,45.3,156.1,91.6,33.7,0.0,0.0,0.0,0.0,0.0,47.8,17.8
US1CADN0007,159.8,105.7,168.6,121.0,97.0,51.9,0.6,8.2,223.6,7.2,104.2,56.5
US1CASK0009,50.8,27.1,91.7,55.8,47.6,13.0,0.0,9.4,137.0,0.5,30.4,27.4
USC00041244,1.3,0.3,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,2.0
USC00040503,0.0,0.0,33.0,0.0,7.4,0.0,4.1,0.0,10.2,0.0,20.8,11.0
USC00045100,20.5,3.8,0.0,1.3,9.2,0.0,7.1,0.3,0.0,7.6,19.1,7.9
USC00042346,18.4,20.4,25.2,0.0,17.8,0.0,2.0,0.0,0.0,2.0,18.6,2.0
US1CAKN0003,10.4,11.7,7.4,0.5,0.8,0.0,0.0,0.0,0.0,12.1,18.1,3.0
USC00040332,23.5,2.5,2.1,4.1,1.0,0.0,0.0,0.0,0.0,0.3,30.5,8.4
USC00048122,25.0,16.3,24.9,1.8,0.3,0.0,0.0,0.0,0.0,1.8,37.3,5.1
USC00045151,0.0,3.1,18.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.5,3.0
USC00043463,44.8,38.9,9.9,15.2,5.6,0.0,0.3,18.0,3.8,15.8,29.5,28.4
