Year,Alarm Date,Containment Date,Cause #,GIS Calculated Acres,Cause
2018,2/20/2018,2/20/2018,14,0.02049659,Unknown / Unidentified
2018,11/16/2018,11/16/2018,14,9.018476,Unknown / Unidentified
2018,6/24/2018,6/27/2018,7,386.1122,Arson
2018,8/20/2018,8/20/2018,9,7.95544,Miscellaneous
2018,6/12/2018,6/12/2018,5,63.63537,Debris
2018,7/17/2018,7/17/2018,11,19.23786,Powerline
2018,5/20/2018,5/22/2018,11,189.5374,Powerline
2018,6/29/2018,6/29/2018,10,50.66001,Vehicle
2018,7/4/2018,7/4/2018,7,315.9945,Arson
2018,6/8/2018,6/8/2018,10,13.11449,Vehicle
2018,7/6/2018,7/10/2018,2,824.9778,Equipment Use
2018,8/1/2018,8/3/2018,14,66.73654,Unknown / Unidentified
2018,8/1/2018,8/2/2018,14,66.69245,Unknown / Unidentified
2018,9/20/2018,9/22/2018,14,10.13181,Unknown / Unidentified
2018,9/4/2018,9/7/2018,14,134.9016,Unknown / Unidentified
2018,8/2/2018,8/5/2018,14,197.5548,Unknown / Unidentified
2018,4/19/2018,4/23/2018,4,1253.925,Campfire
2018,2/18/2018,2/25/2018,7,2075.696,Arson
2018,7/12/2018,9/7/2018,14,954.6071,Unknown / Unidentified
2018,10/30/2018,11/12/2018,5,450.773,Debris
2018,11/8/2018,11/26/2018,11,153335.6,Powerline
2018,8/30/2018,8/30/2018,9,1.009718,Miscellaneous
2018,6/27/2018,6/29/2018,7,78.95502,Arson
2018,4/12/2018,4/12/2018,2,49.1616,Equipment Use
2018,5/26/2018,5/27/2018,2,108.4346,Equipment Use
2018,6/2/2018,6/2/2018,7,12.29649,Arson
2018,6/11/2018,6/11/2018,2,11.74929,Equipment Use
2018,6/4/2018,6/4/2018,7,3.986457,Arson
2018,6/3/2018,6/3/2018,2,9.833247,Equipment Use
2018,5/30/2018,6/1/2018,2,4.022202,Equipment Use
2018,5/30/2018,5/30/2018,2,10.21674,Equipment Use
2018,6/18/2018,6/19/2018,14,10.56412,Unknown / Unidentified
2018,6/12/2018,6/12/2018,2,24.16482,Equipment Use
2018,10/24/2018,10/24/2018,2,14.02408,Equipment Use
2018,7/4/2018,7/4/2018,2,8.838486,Equipment Use
2018,11/4/2018,11/7/2018,18,41.26192,Escaped Prescribed Burn
2018,7/15/2018,7/18/2018,1,57.03822,Lightning
2018,7/15/2018,7/20/2018,1,9.685986,Lightning
2018,7/15/2018,7/21/2018,1,76.45523,Lightning
2018,7/15/2018,7/22/2018,1,30.36902,Lightning
2018,9/22/2018,9/28/2018,7,52.65708,Arson
2018,6/27/2018,6/29/2018,8,431.5368,Playing with fire
2018,9/4/2018,9/8/2018,14,13.49836,Unknown / Unidentified
2018,7/7/2018,7/7/2018,10,13.88662,Vehicle
2018,7/14/2018,7/19/2018,1,15.42562,Lightning
2018,6/15/2018,6/15/2018,2,4564.095,Equipment Use
2018,9/22/2018,9/29/2018,8,359.3124,Playing with fire
2018,5/2/2018,5/2/2018,2,1739.069,Equipment Use
2018,6/4/2018,6/7/2018,2,432.8582,Equipment Use
2018,6/15/2018,6/16/2018,2,52.851,Equipment Use
2018,6/18/2018,6/20/2018,14,124.7975,Unknown / Unidentified
2018,8/4/2018,8/7/2018,11,22.00858,Powerline
2018,6/29/2018,7/3/2018,14,30.20745,Unknown / Unidentified
2018,7/1/2018,7/2/2018,2,4.857596,Equipment Use
2018,7/1/2018,7/6/2018,9,22.57155,Miscellaneous
2018,7/3/2018,7/4/2018,14,19.92144,Unknown / Unidentified
2018,6/29/2018,6/30/2018,14,22.12473,Unknown / Unidentified
2018,7/18/2018,7/18/2018,11,12.74557,Powerline
2018,8/1/2018,8/3/2018,14,692.5414,Unknown / Unidentified
2018,6/6/2018,6/6/2018,11,77.71261,Powerline
2018,8/6/2018,8/8/2018,14,62.26523,Unknown / Unidentified
2018,7/31/2018,8/2/2018,14,1237.57,Unknown / Unidentified
2018,11/13/2018,11/13/2018,14,40.30326,Unknown / Unidentified
