acq_date,frp,bright_ti5,bright_ti4,latitude,longitude
2022-01-01,0.88,273.19,303.85,38.24099,-121.2496
2022-01-01,0.35,271.09,298.23,38.60446,-120.64647
2022-01-01,0.76,277.23,295.67,39.04623,-121.30565
2022-01-01,0.84,273.81,305.27,40.75712,-122.24301
2022-01-01,0.55,280.51,299.03,32.98997,-115.52419
2022-01-01,0.71,279.84,298.97,33.61175,-117.82187
2022-01-01,1.12,280.48,310.06,33.61264,-117.82339
2022-01-01,0.84,279.61,307.86,33.71538,-117.7101
2022-01-01,0.9,281.37,301.35,33.77657,-118.22888
2022-01-01,1.08,282.41,295.91,33.81897,-118.24586
2022-01-01,1.8,286.53,304.28,33.85427,-118.33375
2022-01-01,0.54,274.45,298.98,34.14684,-118.72221
2022-01-01,1.06,278.21,314.15,34.15355,-118.19218
2022-01-01,0.69,276.08,300.09,34.29338,-118.80382
2022-01-01,1.68,274.37,314.45,34.33638,-118.5202
2022-01-01,0.86,275.49,306.61,34.4294,-118.64539
2022-01-01,0.5,275.81,295.59,34.54372,-120.29836
2022-01-01,1.86,274.24,310.09,34.60831,-117.33885
2022-01-01,0.76,274.3,301.09,36.35619,-114.91055
2022-01-01,0.98,272.84,302.81,37.16902,-119.435
2022-01-01,0.45,274.34,296.65,37.21284,-121.90379
2022-01-01,0.58,273.39,295.37,37.43402,-120.83917
2022-01-01,0.79,274.16,308.4,37.45534,-121.9325
2022-01-01,0.28,273.52,295.08,37.75486,-121.65916
2022-01-01,0.39,265.64,295.19,37.81842,-120.1287
2022-01-01,0.82,274.81,310.49,37.884,-121.18729
2022-01-01,0.83,277.47,295.78,37.94462,-122.39761
2022-01-01,0.42,276.77,295.16,37.96669,-122.38335
2022-01-01,0.69,274.55,301.26,38.00359,-121.93604
2022-01-01,1.11,282.51,301.79,38.01563,-122.1119
2022-01-01,0.56,278.53,295.17,38.01628,-122.11633
2022-01-01,0.74,274.48,300.34,38.02038,-122.23952
2022-01-01,0.55,275.26,297.4,38.03093,-122.09918
2022-01-01,0.26,275.54,296.04,38.16184,-122.56757
2022-01-01,0.56,274.21,295.11,38.30285,-122.74981
2022-01-01,6.86,278.02,338.15,35.53299,-115.45316
2022-01-01,6.46,278.87,330.58,35.55589,-115.47275
2022-01-01,6.97,279.24,341.81,35.55718,-115.47148
2022-01-01,7.85,278.96,329.01,35.57495,-115.48645
2022-01-01,3.08,279.21,329.21,35.55667,-115.4678
