latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
40.8227,-114.25701,308.3,0.4,0.45,2023-09-01,905,N,VIIRS,n,2,291.04,0.97,N,2
41.0755,-114.71896,328.49,0.43,0.46,2023-09-01,905,N,VIIRS,n,2,280.73,3.03,N,0
41.82209,-123.95897,299.33,0.65,0.73,2023-09-01,905,N,VIIRS,n,2,268.89,3.58,N,0
42.24128,-114.30195,324.23,0.42,0.45,2023-09-01,905,N,VIIRS,n,2,285.13,1.67,N,0
42.24271,-114.31822,309.24,0.42,0.45,2023-09-01,905,N,VIIRS,n,2,286.91,1.25,N,0
42.24548,-114.30136,309.89,0.42,0.45,2023-09-01,905,N,VIIRS,n,2,283.89,0.52,N,0
42.2493,-114.34473,295.72,0.42,0.46,2023-09-01,905,N,VIIRS,n,2,285.06,1.46,N,0
37.71291,-120.7462,298.46,0.41,0.61,2023-09-01,906,N,VIIRS,n,2,287.7,0.23,N,0
38.01606,-122.11519,298.93,0.49,0.65,2023-09-01,906,N,VIIRS,n,2,286.68,1.17,N,2
38.07148,-122.14153,305.38,0.5,0.65,2023-09-01,906,N,VIIRS,n,2,287.74,1.4,N,2
38.07228,-122.14026,304.62,0.5,0.65,2023-09-01,906,N,VIIRS,n,2,287.77,1.65,N,2
34.15113,-118.19508,298.52,0.55,0.51,2023-09-01,907,N,VIIRS,n,2,287.4,0.58,N,2
34.3368,-118.52087,301.25,0.58,0.52,2023-09-01,907,N,VIIRS,n,2,287.89,0.82,N,2
34.43023,-118.64285,298.5,0.59,0.53,2023-09-01,907,N,VIIRS,n,2,288.0,0.92,N,0
35.59543,-119.73532,303.25,0.35,0.57,2023-09-01,907,N,VIIRS,n,2,291.83,5.17,N,0
35.59594,-119.74313,367.0,0.35,0.57,2023-09-01,907,N,VIIRS,h,2,297.64,5.43,N,0
35.5962,-119.74702,305.07,0.35,0.57,2023-09-01,907,N,VIIRS,n,2,287.94,5.43,N,0
35.60122,-119.74261,355.2,0.35,0.57,2023-09-01,907,N,VIIRS,n,2,302.94,5.43,N,0
36.5319,-118.62651,298.46,0.62,0.54,2023-09-01,907,N,VIIRS,n,2,287.59,1.85,N,0
