station,2015-02-07
US1CAAL0001,33.0
US1CAAL0003,23.1
US1CAAL0004,36.8
US1CAAL0006,36.3
US1CAAL0007,19.6
US1CAAL0011,24.4
US1CAAL0012,37.6
US1CAAL0015,29.2
US1CAAL0016,30.7
US1CAAL0017,35.6
US1CAAL0018,35.8
US1CAAL0020,37.1
US1CAAL0022,0.0
US1CAAL0024,26.7
US1CAAL0025,29.7
US1CAAM0003,61.0
US1CAAM0004,54.4
US1CAAM0005,51.6
US1CAAM0006,53.6
US1CAAM0009,75.2
US1CAAM0010,36.8
US1CABT0002,52.1
US1CABT0005,56.4
US1CABT0007,59.7
US1CABT0008,58.2
US1CABT0009,63.5
US1CABT0011,85.1
US1CABT0012,57.7
US1CABT0015,59.9
US1CABT0016,95.3
US1CABT0017,71.9
US1CABT0018,43.7
US1CABT0019,57.4
US1CABT0026,41.9
US1CACC0001,51.6
US1CACC0004,41.9
US1CACC0006,47.2
US1CACC0010,56.4
US1CACC0011,44.7
US1CACC0016,34.8
US1CACC0018,34.3
US1CACC0019,53.8
US1CACC0021,22.9
US1CACC0027,23.1
US1CACC0028,36.3
US1CACC0031,45.7
US1CACL0001,41.1
US1CACV0002,22.4
US1CADN0001,36.3
US1CADN0005,46.5
US1CADN0006,80.0
US1CADN0007,66.0
US1CADN0008,67.1
US1CADN0011,54.1
US1CAED0003,62.0
US1CAED0010,71.4
US1CAED0011,75.4
US1CAED0012,70.1
US1CAED0014,35.6
US1CAED0017,73.9
US1CAED0018,66.0
US1CAED0020,59.2
US1CAED0021,39.9
US1CAED0023,38.9
US1CAFR0002,13.2
US1CAFR0003,33.3
US1CAFR0005,36.1
US1CAFR0006,15.7
US1CAFR0007,10.4
US1CAFR0008,1.3
US1CAFR0009,35.6
US1CAFR0013,11.2
US1CAFR0014,7.6
US1CAHM0001,11.9
US1CAHM0003,30.5
US1CAHM0004,26.4
US1CAHM0005,33.3
US1CAHM0006,23.6
US1CAHM0007,121.9
US1CAHM0009,31.0
US1CAHM0012,35.3
US1CAHM0014,122.2
US1CAHM0016,25.7
US1CAHM0020,57.7
US1CAHM0021,15.5
US1CAHM0022,55.9
US1CAHM0026,167.4
US1CAHM0029,46.5
US1CAHM0030,82.6
US1CAHM0031,83.8
US1CAHM0032,91.9
US1CAHM0034,12.7
US1CAHM0035,26.7
US1CAHM0036,83.1
US1CAHM0038,39.9
US1CAHM0039,29.2
US1CAHM0041,23.1
US1CAHM0046,26.9
US1CAHM0047,59.2
US1CAHM0048,49.0
US1CAHM0050,29.2
US1CAHM0051,29.7
US1CAHM0052,44.5
US1CAIN0001,0.5
US1CAIN0002,10.7
US1CAIN0004,0.5
US1CAIN0006,1.5
US1CAIN0007,0.5
US1CAIN0008,3.0
US1CAKG0001,9.4
US1CAKG0003,7.6
US1CAKG0004,7.1
US1CAKG0005,10.9
US1CAKN0001,0.0
US1CAKN0005,0.0
US1CAKN0013,0.0
US1CAKN0017,0.0
US1CAKN0026,4.1
US1CALA0001,0.0
US1CALA0003,0.0
US1CALA0005,0.0
US1CALA0009,0.0
US1CALA0010,0.0
US1CALA0011,0.0
US1CALA0014,0.0
US1CALA0021,0.0
US1CALA0023,0.0
US1CALA0031,0.0
US1CALA0034,0.0
US1CALA0036,1.3
US1CALA0041,0.0
US1CALA0043,0.0
US1CALA0044,0.0
US1CALA0046,0.0
US1CALA0048,0.0
US1CALA0049,0.0
US1CALA0051,0.0
US1CALA0054,0.0
US1CALK0003,65.8
US1CALK0006,146.8
US1CALK0008,161.3
US1CALK0009,83.8
US1CALK0010,255.8
US1CALS0002,41.4
US1CALS0004,51.8
US1CAMA0001,42.9
US1CAMA0002,27.2
US1CAMA0003,21.1
US1CAMA0004,38.9
US1CAMA0005,25.9
US1CAMA0006,10.2
US1CAMA0007,36.6
US1CAMA0008,8.9
US1CAMD0001,79.2
US1CAMD0003,99.6
US1CAMD0007,105.7
US1CAMD0009,74.9
US1CAMD0014,66.3
US1CAMD0016,87.9
US1CAMD0017,99.8
US1CAMD0018,57.7
US1CAMD0021,55.4
US1CAMD0022,106.7
US1CAMD0025,66.5
US1CAMN0001,23.4
US1CAMP0001,24.1
US1CAMP0002,31.8
US1CAMP0003,0.0
US1CAMP0004,19.6
US1CAMP0006,31.8
US1CAMR0002,49.3
US1CAMR0004,57.2
US1CAMR0005,63.2
US1CAMR0007,47.8
US1CAMR0009,44.5
US1CAMR0011,60.7
US1CAMR0018,44.5
US1CAMR0021,24.9
US1CAMR0024,41.4
US1CAMR0025,37.3
US1CAMR0026,61.0
US1CAMR0027,23.9
US1CAMR0029,47.2
US1CAMR0030,0.8
US1CAMR0031,59.9
US1CAMR0032,47.5
US1CAMR0034,48.0
US1CAMR0035,48.0
US1CAMR0037,0.0
US1CAMT0003,25.7
US1CAMT0005,30.0
US1CAMT0006,17.0
US1CAMT0008,27.9
US1CAMT0009,9.9
US1CAMT0011,24.1
US1CAMT0014,50.8
US1CAMT0017,30.7
US1CAMT0019,23.6
US1CAMT0020,17.8
US1CAMT0021,6.4
US1CAMT0023,41.4
US1CAMT0027,41.9
US1CAMT0029,10.2
US1CAMT0030,6.6
US1CAMT0031,44.5
US1CAMT0033,19.3
US1CAMT0036,7.6
US1CANP0003,87.1
US1CANP0007,86.6
US1CANP0008,31.2
US1CANV0001,72.9
