Year,Fire Name,Alarm Date,Containment Date,Duration (Days),Cause,Acres,Area,Perimeter
2021,CALVERT,2021-03-01,2021-03-01,0.0,Escaped Prescribed Burn,257.8323,1638694.50390625,10145.6694378656
2021,MEISS,2021-04-05,2021-04-05,0.0,Debris,21.86377,159533.55859375,2282.70245243055
2021,REFUGE,2021-03-27,2021-03-29,2.0,Escaped Prescribed Burn,873.3917,6392786.796875,12370.0851729225
2021,BONNY COMPLEX,2021-01-19,2021-01-22,3.0,Miscellaneous,20.30736,129374.5859375,2331.54648284773
2021,FREEDOM,2021-01-19,2021-01-22,3.0,Powerline,33.25922,211295.828125,4130.55440998935
2021,PANTHER RIDGE,2021-01-19,2021-01-22,3.0,Powerline,19.72582,126036.86328125,2212.69514597106
2021,CHINA,2021-01-19,2021-01-21,2.0,Miscellaneous,21.93688,140121.828125,2424.06993897226
2021,BUTANO,2021-01-19,2021-01-21,2.0,Lightning,169.8688,1086456.98046875,5329.48883138192
2021,BLOOM,2021-01-19,2021-01-21,2.0,Miscellaneous,8.611075,54969.96484375,1321.45404079025
2021,GUNNISON,2021-05-08,2021-05-12,4.0,Equipment Use,548.9937,3775210.875,10415.3817753177
2021,FARMINGTON,2021-06-09,2021-06-11,2.0,Unknown / Unidentified,248.6175,1481024.2421875,9309.88025273752
2021,TURNOUT,2021-04-18,2021-04-25,7.0,Escaped Prescribed Burn,191.6513,1287947.625,11247.1127669004
2021,KIRK,2021-06-21,2021-06-22,1.0,Miscellaneous,23.05541,155760.015625,2163.52317024439
2021,TOMKI,2021-05-21,2021-05-24,3.0,Unknown / Unidentified,18.17299,123207.02734375,2539.83368808179
2021,ROUND,2021-06-08,2021-06-08,0.0,Unknown / Unidentified,1.699813,11905.72265625,611.304570087919
2021,1-4 BIZZ,2021-06-23,2021-06-25,2.0,Lightning,13.89517,97056.5390625,1569.62766427365
2021,4-3 PUMA,2021-06-24,2021-06-25,1.0,Lightning,132.4866,958271.46484375,6023.27570533782
2021,BESWICK,2021-06-28,2021-07-03,5.0,Unknown / Unidentified,118.0034,862439.53515625,7735.89314747984
2021,BROWNELL,2021-04-13,2021-04-13,0.0,Debris,4.151186,30385.9765625,1084.37911362191
