Cause,Average Duration (Days),Stan Dev Duration (Days),Average Acres,Stan Dev Acres
Arson,1.45,2.350251946180731,496.1673326,1906.594837981538
Campfire,3.5714285714285716,2.878491668515698,157.180114,241.73628083414985
Debris,1.5517241379310345,3.3443577954578076,63.460046724137925,205.51748653865056
Equipment Use,19.829787234042552,75.95917643534818,447.05621285106383,1973.6322433775322
Escaped Prescribed Burn,2.375,3.2486260832190936,208.219648,283.3835614237991
Lightning,37.57142857142857,42.92095447835862,22560.895770428568,52575.42089716282
Miscellaneous,7.5777777777777775,19.6728803743179,178.32547124444446,506.28473034785964
Playing with fire,0.5,0.7071067811865476,16.0493475,14.835669490252622
Powerline,7.9375,25.449214133249775,60263.045691418745,240837.981082401
Railroad,0.0,,18.59738,
Smoking,3.5,2.1213203435596424,62.196034999999995,4.353069553137188
Structure,0.0,,2.883715,
Unknown / Unidentified,7.0078125,22.765665574180638,3083.8363466976743,21637.57254860434
Vehicle,0.4375,0.981687158630159,42.48253265625,75.08657228406472
